interval_end_hour,load_kw,pv_kw,reading_uncertainty_kw
0.5,8.50,0.00,0.50
1.0,5.60,0.00,0.50
1.5,4.06,0.00,0.50
2.0,4.44,0.00,0.50
2.5,6.76,0.00,0.50
3.0,5.51,0.00,0.50
3.5,6.38,0.00,0.50
4.0,4.25,0.00,0.50
4.5,4.06,0.00,0.50
5.0,4.83,0.00,0.50
5.5,4.44,0.00,0.50
6.0,4.25,0.00,0.50
6.5,6.96,0.00,0.50
7.0,6.96,0.19,0.50
7.5,18.55,0.39,0.50
8.0,17.97,0.77,0.50
8.5,13.43,3.48,0.50
9.0,13.72,1.35,0.50
9.5,5.41,3.86,0.50
10.0,8.31,2.51,0.50
10.5,18.74,3.86,0.50
11.0,7.92,2.71,0.50
11.5,10.43,3.09,0.50
12.0,5.51,5.80,0.50
12.5,6.38,8.50,0.50
13.0,8.50,7.34,0.50
13.5,8.79,8.89,0.50
14.0,9.08,4.25,0.50
14.5,13.53,5.70,0.50
15.0,7.54,5.60,0.50
15.5,9.86,4.06,0.50
16.0,9.86,4.64,0.50
16.5,15.46,3.29,0.50
17.0,18.94,3.09,0.50
17.5,21.06,3.29,0.50
18.0,13.33,1.93,0.50
18.5,10.43,1.74,0.50
19.0,12.95,0.77,0.50
19.5,12.37,0.19,0.50
20.0,8.89,0.00,0.50
20.5,9.08,0.00,0.50
21.0,13.43,0.00,0.50
21.5,15.07,0.00,0.50
22.0,11.79,0.00,0.50
22.5,12.17,0.00,0.50
23.0,15.46,0.00,0.50
23.5,11.01,0.00,0.50
24.0,7.34,0.00,0.50

