CaseId,Day,BudgetId,Strategy,ScenarioId,PairId,CohortId,PvBoundaryId,TransferLossFraction,SensitivityRole,IsPrimary,CapacityRatio,PowerRatio,Status,ErrorIdentifier,ErrorMessage,PaperTargetSavingsPercent,LocalPaperSavingsPercent,DifferencePercentagePoints,PaperLoadOnlyBaselineBillEUR,OptimizedBillEUR
tablei_nominal_DC_XI007_H20_SH_BM,24-Aug-2020,NOMINAL,SH_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,1,ok,,,36.41,38.4003112615972,1.99031126159722,36.671172405,22.5893280582031
tablei_power_20_DC_XI007_H20_SH_BM,24-Aug-2020,POWER_20,SH_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,0.2,ok,,,26.76,31.2160162986738,4.45601629867383,36.671172405,25.2238932501404
tablei_capacity_20_DC_XI007_H20_SH_BM,24-Aug-2020,CAPACITY_20,SH_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.2,1,ok,,,16.18,20.0048155944048,3.82481559440483,36.671172405,29.3351719890735
tablei_nominal_DC_XI007_H20_VPP_BM,24-Aug-2020,NOMINAL,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,1,ok,,,45.85,46.6664306157681,0.816430615768148,36.671172405,19.558045178632
tablei_power_20_DC_XI007_H20_VPP_BM,24-Aug-2020,POWER_20,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,0.2,ok,,,43.42,43.0624998203204,-0.357500179679562,36.671172405,20.8796488539875
tablei_capacity_20_DC_XI007_H20_VPP_BM,24-Aug-2020,CAPACITY_20,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.2,1,ok,,,26.45,25.4596340345787,-0.990365965421336,36.671172405,27.3348261144976
tablei_nominal_DC_XI007_H20_PS,24-Aug-2020,NOMINAL,PS,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,1,ok,,,15.3,20.744319436618,5.44431943661802,36.671172405,29.0639872601539
tablei_power_20_DC_XI007_H20_PS,24-Aug-2020,POWER_20,PS,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,0.2,ok,,,15.3,20.7034792865726,5.40347928657259,36.671172405,29.0789638219875
tablei_capacity_20_DC_XI007_H20_PS,24-Aug-2020,CAPACITY_20,PS,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.2,1,ok,,,15.33,22.5861872083013,7.25618720830131,36.671172405,28.3885527541278
tablei_nominal_DC_XI007_H20_PSDT,24-Aug-2020,NOMINAL,PSDT,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,1,ok,,,43.63,46.6664306157682,3.03643061576818,36.671172405,19.558045178632
tablei_power_20_DC_XI007_H20_PSDT,24-Aug-2020,POWER_20,PSDT,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,0.2,ok,,,24.17,43.0624998203204,18.8924998203204,36.671172405,20.8796488539875
tablei_capacity_20_DC_XI007_H20_PSDT,24-Aug-2020,CAPACITY_20,PSDT,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.2,1,ok,,,18.04,25.3847882622612,7.34478826226124,36.671172405,27.362272936702
tablei_nominal_DC_XI007_H20_LL,24-Aug-2020,NOMINAL,LL,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,1,ok,,,15.39,20.744316068486,5.35431606848599,36.671172405,29.0639884952874
tablei_power_20_DC_XI007_H20_LL,24-Aug-2020,POWER_20,LL,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,0.2,ok,,,15.25,20.7034759610023,5.45347596100229,36.671172405,29.0789650415131
tablei_capacity_20_DC_XI007_H20_LL,24-Aug-2020,CAPACITY_20,LL,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.2,1,ok,,,14.86,15.450601814175,0.590601814175008,36.671172405,31.0052555761138
