TimeEnd,LoadKW,ObservedReleasedPvKW,GridImportKW,ReleaseBatterySignedKW,FeedInKW
24-Aug-2020 00:30:00,6.61041,0.00506,6.33195,0.2734,0
24-Aug-2020 01:00:00,6.253,0.00466,6.1831,0.06524,0
24-Aug-2020 01:30:00,3.97966,0.00374,3.87066,0.10526,0
24-Aug-2020 02:00:00,3.97239,0.0033,3.89897,0.07012,0
24-Aug-2020 02:30:00,4.22493,0.00494,4.15535,0.06464,0
24-Aug-2020 03:00:00,4.27492,0.00398,4.04048,0.2306,0
24-Aug-2020 03:30:00,4.04145,0.00332,3.82211,0.21602,0
24-Aug-2020 04:00:00,3.53955,0.00336,3.44043,0.09576,0
24-Aug-2020 04:30:00,3.81027,0.00382,3.66179,0.14466,0
24-Aug-2020 05:00:00,5.63133,0.00678,5.51142,0.11313,0
24-Aug-2020 05:30:00,7.56556,0.00378,6.92926,0.63512,0
24-Aug-2020 06:00:00,9.92974,0.00112,30.81456,-20.88594,0
24-Aug-2020 06:30:00,10.38368,0,33.5856,-23.20192,0
24-Aug-2020 07:00:00,9.9806,0,33.14564,-23.16504,0
24-Aug-2020 07:30:00,7.33904,0.0802,30.30266,-23.04112,0.0027
24-Aug-2020 08:00:00,9.02942,0.40904,31.75448,-23.09862,0.03548
24-Aug-2020 08:30:00,7.5924,1.31412,4.7736,1.54778,0.04056
24-Aug-2020 09:00:00,10.1836,1.53698,3.58442,5.14902,0.0465
24-Aug-2020 09:30:00,7.69178,2.0912,4.3265,1.3733,0.09866
24-Aug-2020 10:00:00,5.10348,3.73786,2.22746,-0.740480000000001,0.12106
24-Aug-2020 10:30:00,6.47652,6.04112,1.81294,-1.2655,0.09898
24-Aug-2020 11:00:00,8.96004,4.45646,3.5944,1.03812,0.12128
24-Aug-2020 11:30:00,13.74204,3.58624,5.73154,4.54636,0.11748
24-Aug-2020 12:00:00,8.30057,4.35078,1.73031,2.37008,0.14128
24-Aug-2020 12:30:00,9.73582,5.16108,5.5986,-0.89458,0.1206
24-Aug-2020 13:00:00,8.33362,5.03316,6.02208,-2.51998,0.14604
24-Aug-2020 13:30:00,9.85834,7.00274,5.44918,-2.4729,0.10914
24-Aug-2020 14:00:00,10.23934,6.54984,7.53064,-3.74228,0.0933
24-Aug-2020 14:30:00,14.20588,4.66622,11.39168,-1.70824,0.10074
24-Aug-2020 15:00:00,8.80174,4.37612,6.97472,-2.43456,0.0961
24-Aug-2020 15:30:00,7.4822,3.30698,5.41222,-1.1411,0.08158
24-Aug-2020 16:00:00,10.47406,2.94998,4.9658,2.68278,0.09306
24-Aug-2020 16:30:00,11.27656,1.91264,4.21592,5.2334,0.06464
24-Aug-2020 17:00:00,9.4449,1.3512,5.20058,2.93902,0.03822
24-Aug-2020 17:30:00,10.51398,1.00148,5.78748,3.78418,0.03978
24-Aug-2020 18:00:00,18.60514,0.73711,11.4575,6.46279,0.01824
24-Aug-2020 18:30:00,17.92082,0.42604,13.00762,4.5045,0.01648
24-Aug-2020 19:00:00,11.70286,0.26294,4.95534,6.49562,0.00432
24-Aug-2020 19:30:00,15.79752,0.0986,10.08192,5.62572,0.00238
24-Aug-2020 20:00:00,13.09074,0.016,10.8869,2.20092,0
24-Aug-2020 20:30:00,11.99693,0.00854,10.53134,1.45795,0
24-Aug-2020 21:00:00,14.06608,0.00892,12.88034,1.17682,0
24-Aug-2020 21:30:00,12.66902,0.0094,11.13654,1.5263,0.00322
24-Aug-2020 22:00:00,16.5783,0.00332,14.73278,1.84558,0.00302
24-Aug-2020 22:30:00,12.69004,0.01014,11.59297,1.08693,0
24-Aug-2020 23:00:00,8.83402,0.00634,8.06796,0.75972,0
24-Aug-2020 23:30:00,9.80018,0.00382,9.04336,0.753,0
25-Aug-2020 00:00:00,10.8058,0.00446,10.13264,0.6687,0
