TimeEnd,LoadKW,ObservedReleasedPvKW,GridImportKW,ReleaseBatterySignedKW,FeedInKW
24-Aug-2020 00:30:00,6.75743,0.00506,6.49085,0.26152,0
24-Aug-2020 01:00:00,6.37418,0.00466,6.31572,0.0538000000000001,0
24-Aug-2020 01:30:00,4.10152,0.00374,4.00388,0.0939,0
24-Aug-2020 02:00:00,4.11671,0.0033,4.05445,0.05896,0
24-Aug-2020 02:30:00,4.44797,0.00494,4.38901,0.05402,0
24-Aug-2020 03:00:00,4.4792,0.00458,4.89244,-0.41768,0
24-Aug-2020 03:30:00,4.24431,0.00332,4.03561,0.20538,0
24-Aug-2020 04:00:00,3.74379,0.00336,3.65569,0.08474,0
24-Aug-2020 04:30:00,4.02711,0.00382,3.88993,0.13336,0
24-Aug-2020 05:00:00,5.83211,0.00678,5.72286,0.10247,0
24-Aug-2020 05:30:00,7.76492,0.00378,7.13876,0.62498,0
24-Aug-2020 06:00:00,10.10506,0.00112,31.00028,-20.89634,0
24-Aug-2020 06:30:00,10.5033,0,33.71518,-23.21188,0
24-Aug-2020 07:00:00,10.14938,0,33.32428,-23.1749,0
24-Aug-2020 07:30:00,10.0849,0.0802,33.05796,-23.05056,0.0027
24-Aug-2020 08:00:00,10.6098,0.40904,33.34382,-23.10758,0.03548
24-Aug-2020 08:30:00,7.82226,1.31492,5.65188,0.89856,0.04056
24-Aug-2020 09:00:00,10.41748,1.53698,3.81938,5.14794,0.0465
24-Aug-2020 09:30:00,8.14186,2.11476,4.75518,1.37114,0.09866
24-Aug-2020 10:00:00,5.45138,3.85334,2.45988,-0.740480000000001,0.12106
24-Aug-2020 10:30:00,6.84392,6.15324,2.06852,-1.2658,0.09898
24-Aug-2020 11:00:00,9.1955,4.66044,3.70636,0.95764,0.12128
24-Aug-2020 11:30:00,14.25528,3.81868,6.05704,4.50166,0.11748
24-Aug-2020 12:00:00,10.01139,4.53676,3.25515,2.37008,0.14128
24-Aug-2020 12:30:00,10.05596,5.33638,5.74352,-0.89466,0.1206
24-Aug-2020 13:00:00,9.40188,5.16018,6.96338,-2.52004,0.14604
24-Aug-2020 13:30:00,10.58522,7.16826,6.03578,-2.49814,0.10914
24-Aug-2020 14:00:00,10.44682,6.79346,7.63872,-3.8865,0.0933
24-Aug-2020 14:30:00,14.32608,4.972,11.42098,-1.92312,0.10074
24-Aug-2020 15:00:00,8.92004,4.76364,7.00388,-2.73294,0.0961
24-Aug-2020 15:30:00,7.60056,3.69486,5.44128,-1.43968,0.08158
24-Aug-2020 16:00:00,10.59344,3.28178,4.99568,2.44048,0.09306
24-Aug-2020 16:30:00,12.01244,2.1806,4.27772,5.6684,0.09352
24-Aug-2020 17:00:00,9.71752,1.60356,5.22284,2.93702,0.03822
24-Aug-2020 17:30:00,10.7835,1.31234,5.80962,3.7207,0.03978
24-Aug-2020 18:00:00,18.87078,1.05389,11.48092,6.38843,0.01844
24-Aug-2020 18:30:00,18.22888,0.76408,13.03082,4.4524,0.01756
24-Aug-2020 19:00:00,12.09404,0.8852,4.9776,6.2462,0.00824
24-Aug-2020 19:30:00,16.00942,0.35284,10.1096,5.5557,0.00238
24-Aug-2020 20:00:00,13.29302,0.09338,10.91556,2.29716,0
24-Aug-2020 20:30:00,12.19997,0.01406,10.56142,1.62539,0
24-Aug-2020 21:00:00,15.5166,0.01178,14.02396,1.48086,0
24-Aug-2020 21:30:00,14.87162,0.0094,13.35134,1.5141,0.00322
24-Aug-2020 22:00:00,16.79454,0.00332,14.96142,1.83318,0.00302
24-Aug-2020 22:30:00,12.835,0.01014,11.74953,1.07533,0
24-Aug-2020 23:00:00,9.01564,0.00634,8.2611,0.7482,0
24-Aug-2020 23:30:00,10.04552,0.00382,9.2998,0.7419,0
25-Aug-2020 00:00:00,11.0438,0.00446,10.38178,0.65756,0
