Dataset,Day,PeakGuardCapKW,VppBillEUR,PeakGuardBillEUR,BillPenaltyEUR,BillPenaltyPercentOfVpp,VppPaperSavingsPercent,PeakGuardPaperSavingsPercent,PaperSavingsSacrificePercentagePoints,VppEngineeringSavingsPercent,PeakGuardEngineeringSavingsPercent,EngineeringSavingsSacrificePercentagePoints,VppAllDayPeakKW,PeakGuardAllDayPeakKW,PeakReductionKW,PeakReductionPercent,VppPeakExcessOverCapKW,PeakGuardPeakExcessOverCapKW,PeakGuardCapViolationKW,VppCreatesNewPeak,PeakGuardCapSatisfied,VppDaytimePeakKW,PeakGuardDaytimePeakKW,DaytimePeakChangeKW,VppLoadRangeKW,PeakGuardLoadRangeKW,LoadRangeReductionKW,VppGridImportKWh,PeakGuardGridImportKWh,GridImportChangeKWh,VppBatteryThroughputKWh,PeakGuardBatteryThroughputKWh,BatteryThroughputChangeKWh,VppPvCurtailmentKWh,PeakGuardPvCurtailmentKWh,PvCurtailmentChangeKWh,VppEnergyBalanceResidualKW,PeakGuardEnergyBalanceResidualKW,VppTerminalSocErrorKWh,PeakGuardTerminalSocErrorKWh,VppSimultaneousChargeDischargeKW,PeakGuardSimultaneousChargeDischargeKW
Ausgrid-no-161,03-Jul-2012,101.162,87.7608124248242,87.7608124248239,-2.98427949019242e-13,-3.40046930712811e-13,52.4029366374167,52.4029366374169,-1.70530256582424e-13,41.4273070555874,41.4273070555876,-1.98951966012828e-13,165.885578947368,101.162,64.723578947368,39.0170015730562,64.723578947368,0,0,1,1,46.752,52.796,6.044,165.885578947368,101.162,64.723578947368,880.760408102159,880.76040810216,1.02318153949454e-12,831.99976785781,831.999767857817,7.04858393874019e-12,0,0,0,1.88737914186277e-14,3.90798504668055e-14,0,0,0,0
Ausgrid-no-161,17-Aug-2012,83.026,71.1749533932841,71.1749533932841,0,0,57.8959345753185,57.8959345753185,0,47.4063294155457,47.4063294155457,0,132.010616842105,83.026,48.984616842105,37.1065737089119,48.984616842105,0,0,1,1,34.8058,34.05119,-0.75461,132.010616842105,83.0260000000001,48.9846168421049,742.832080131448,742.832080131449,9.09494701772928e-13,831.999811730215,831.999811730216,1.02318153949454e-12,0,0,0,3.28626015289046e-14,9.32587340685131e-15,0,0,0,0
Ausgrid-no-161,06-Sep-2012,61.284,21.2447683944766,21.2447683944767,9.9475983006414e-14,4.68237549872639e-13,82.0355201217335,82.0355201217334,9.9475983006414e-14,73.931425718108,73.9314257181078,1.98951966012828e-13,61.284,61.284,0,0,0,0,0,0,1,1.7874590696465e-14,4.4353409833775e-13,4.25659507641285e-13,61.2840000000004,61.2840000000003,9.9475983006414e-14,233.458993345896,233.458993345898,1.98951966012828e-12,690.005961865543,690.005961865541,-1.93267624126747e-12,0,0,0,4.8544501751735e-13,1.48375756126029e-12,0,0,0,0
Ausgrid-no-161,19-Oct-2012,56.568,22.6778884077886,22.6778884077886,0,0,80.9205953067827,80.9205953067827,0,70.3780019520617,70.3780019520617,0,56.568,56.568,0,0,0,0,0,0,1,5.32907051820075e-15,1.50990331349021e-14,9.76996261670135e-15,56.568,56.568,0,249.207564920754,249.207564920754,0,604.559204254094,604.559204254095,1.02318153949454e-12,33.9209699991077,25.3341294089097,-8.586840590198,2.8199664825479e-14,3.48610029732299e-14,0,0,0,0
Ausgrid-no-161,12-Nov-2012,51.694,20.2470861547085,20.2470861547085,0,0,83.460716137481,83.460716137481,0,72.4539686446106,72.4539686446106,0,49.5,49.5,0,0,-2.194,-2.194,0,0,1,1.59872115546023e-14,6.66133814775094e-15,-9.32587340685136e-15,49.5,49.5,0,222.495452249544,222.495452249544,0,615.25924584144,615.259245841441,1.02318153949454e-12,127.24811222581,135.905092946156,8.656980720346,7.66053886991358e-15,5.55111512312578e-15,0,0,0,0
Ausgrid-no-161,21-Dec-2012,59.6,43.2468478034089,43.246847803409,9.9475983006414e-14,2.30019037361084e-13,64.2589452509536,64.2589452509536,8.5265128291212e-14,47.0416305124541,47.041630512454,9.9475983006414e-14,79.8991561018301,59.6,20.2991561018301,25.4059705911777,20.2991561018301,0,0,1,1,3.08086889333481e-15,2.08166817117217e-15,-9.9920072216264e-16,79.8991561018301,59.6,20.2991561018301,475.240085751746,475.240085751747,1.02318153949454e-12,394.072035328638,394.0720353286,-3.79714037990198e-11,0,0,0,3.38618022510673e-15,2.88657986402541e-15,0,0,0,0
Ausgrid-no-161,25-Jan-2013,71.548,35.8137911628469,35.8137911628469,0,0,78.1557618644265,78.1557618644265,0,65.6437447922142,65.6437447922142,0,63.854,63.854,0,0,-7.694,-7.694,0,0,1,7.68792125265261e-05,7.6879213233183e-05,7.06656900963804e-13,63.854,63.854,0,393.558101138104,393.558101138103,-1.02318153949454e-12,586.10777829178,586.107778291779,-1.02318153949454e-12,0,0,0,3.46389583683049e-14,1.06581410364015e-14,0,0,0,0
Ausgrid-no-161,15-Feb-2013,50.958,28.0008920373776,28.0008920373776,0,0,75.1051677248092,75.1051677248092,0,60.383650562873,60.3836505628729,9.9475983006414e-14,50.218,50.218,0,0,-0.739999999999995,-0.739999999999995,0,0,1,4.9960036108132e-15,5.88418203051333e-15,8.8817841970013e-16,50.218,50.218,0,307.702110300853,307.702110300853,0,414.226675088188,414.226675088188,0,0,0,0,9.65894031423886e-15,2.49938958418738e-14,0,0,0,0
Ausgrid-no-161,12-Mar-2013,52.926,25.5054109904159,25.5054109904159,0,0,79.4883174919435,79.4883174919435,0,67.8462492924324,67.8462492924324,0,47.312,47.312,0,0,-5.614,-5.614,0,0,1,5.4678483962789e-15,7.105427357601e-15,1.6375789613221e-15,47.312,47.3120000000001,-9.9475983006414e-14,280.279241652922,280.279241652922,0,529.785249038558,529.785249038558,0,0,0,0,3.58602036953926e-14,8.85957973650875e-14,0,0,0,0
Ausgrid-no-161,28-Apr-2013,58.578,34.4893473180202,34.4893473180202,0,0,73.0414131453556,73.0414131453556,0,60.6949074508012,60.6949074508011,1.06581410364015e-13,60.364639833795,58.578,1.786639833795,2.95974570330287,1.786639833795,0,0,1,1,7.40361113245047e-05,7.40361125777245e-05,1.25321979085446e-12,60.364639833795,58.578,1.786639833795,379.003774781983,379.003774781983,0,580.830669795007,580.830669795006,-1.02318153949454e-12,0,0,0,3.99680288865056e-15,1.40238697847388e-14,0,0,0,0
