Dataset,Day,Sequence,Strategy,Status,ErrorIdentifier,ErrorMessage,SourceEvidence,ReusedWithoutSolve,WallTimeSeconds,IntervalMinutes,HouseCount,PvHomeCount,PvBoundaryId,TransferLossFraction,BatteryCapacityKWhPerHome,BatteryPowerKWPerHome,PeakGuardCapKW,PaperLoadOnlyBaselineBillEUR,PaperSavingsPercent,PvSelfNoBatteryBaselineBillEUR,EngineeringSavingsPercent,OriginalLoadPeakKW,PvSelfNoBatteryPeakKW,OptimizedBillEUR,AllDayPeakKW,DaytimePeakKW,LoadRangeKW,TotalGridImportKWh,BatteryThroughputKWh,PvCurtailmentKWh,EnergyBalanceResidualKW,PvAllocationResidualKW,HomeBalanceResidualKW,BatteryDynamicsResidualKW,AggregateImportResidualKW,ChargeConversionResidualKW,DischargeConversionResidualKW,InitialSocErrorKWh,TerminalSocErrorKWh,SocBoundViolationKWh,ChargePowerViolationKW,DischargePowerViolationKW,AggregateImportNonnegativeViolationKW,SimultaneousChargeDischargeKW,MaximumLexicographicViolation,MinimumExitFlag,MaximumRelativeMipGap,StageCount,PeakExcessOverCapKW,CapViolationKW,ArtifactDirectory
Ausgrid-no-161,03-Jul-2012,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,20.3097225416667,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,101.162,184.38283,52.4029366374167,149.832299,41.4273070555874,101.174,101.162,87.7608124248242,165.885578947368,46.752,165.885578947368,880.760408102159,831.99976785781,0,1.88737914186277e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,64.723578947368,NaN,
Ausgrid-no-161,03-Jul-2012,2,IMPROVED_PEAK_GUARD,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,8.42963870833333,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,101.162,184.38283,52.4029366374169,149.832299,41.4273070555876,101.174,101.162,87.7608124248239,101.162,52.796,101.162,880.76040810216,831.999767857817,0,3.90798504668055e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,0,0,
Ausgrid-no-161,17-Aug-2012,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,21.0792626666667,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,83.026,169.045323,57.8959345753185,135.329884,47.4063294155457,85.414,83.026,71.1749533932841,132.010616842105,34.8058,132.010616842105,742.832080131448,831.999811730215,0,3.28626015289046e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,48.984616842105,NaN,
Ausgrid-no-161,17-Aug-2012,2,IMPROVED_PEAK_GUARD,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,18.4315561666667,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,83.026,169.045323,57.8959345753185,135.329884,47.4063294155457,85.414,83.026,71.1749533932841,83.026,34.05119,83.0260000000001,742.832080131449,831.999811730216,0,9.32587340685131e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,0,0,
Ausgrid-no-161,06-Sep-2012,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,18.8943282916667,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,61.284,118.259858,82.0355201217335,81.495705,73.931425718108,61.284,61.284,21.2447683944766,61.284,1.7874590696465e-14,61.2840000000004,233.458993345896,690.005961865543,0,4.8544501751735e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,0,NaN,
Ausgrid-no-161,06-Sep-2012,2,IMPROVED_PEAK_GUARD,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,32.3569189583333,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,61.284,118.259858,82.0355201217334,81.495705,73.9314257181078,61.284,61.284,21.2447683944767,61.284,4.4353409833775e-13,61.2840000000003,233.458993345898,690.005961865541,0,1.48375756126029e-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,0,0,
Ausgrid-no-161,19-Oct-2012,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,12.215536375,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,56.568,118.860566,80.9205953067827,76.557592,70.3780019520617,56.568,56.568,22.6778884077886,56.568,5.32907051820075e-15,56.568,249.207564920754,604.559204254094,33.9209699991077,2.8199664825479e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,0,NaN,
Ausgrid-no-161,19-Oct-2012,2,IMPROVED_PEAK_GUARD,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,16.5213580833333,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,56.568,118.860566,80.9205953067827,76.557592,70.3780019520617,56.568,56.568,22.6778884077886,56.568,1.50990331349021e-14,56.568,249.207564920754,604.559204254095,25.3341294089097,3.48610029732299e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,0,0,
Ausgrid-no-161,12-Nov-2012,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,14.87964925,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,51.694,122.418155,83.460716137481,73.502734,72.4539686446106,53.832,51.694,20.2470861547085,49.5,1.59872115546023e-14,49.5,222.495452249544,615.25924584144,127.24811222581,7.66053886991358e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,-2.194,NaN,
Ausgrid-no-161,12-Nov-2012,2,IMPROVED_PEAK_GUARD,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/external_sensitivity_ausgrid_exclude_customer161_v1/primary_metrics.csv;/manifest.json,1,15.2791930833333,30,52,52,INVERTER_AC_GROSS,0.07,10,3.3,51.694,122.418155,83.460716137481,73.502734,72.4539686446106,53.832,51.694,20.2470861547085,49.5,6.66133814775094e-15,49.5,222.495452249544,615.259245841441,135.905092946156,5.55111512312578e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,-2.194,0,
