Period,PairedDays,VppNewPeakDays,PeakGuardCapPassDays,MeanVppBillEUR,MeanPeakGuardBillEUR,MeanBillPenaltyEUR,MedianBillPenaltyEUR,SummedVppBillEUR,SummedPeakGuardBillEUR,SummedBillPenaltyEUR,AggregatedVppPaperSavingsPercent,AggregatedPeakGuardPaperSavingsPercent,AggregatedPaperSavingsSacrificePercentagePoints,AggregatedVppEngineeringSavingsPercent,AggregatedPeakGuardEngineeringSavingsPercent,AggregatedEngineeringSavingsSacrificePercentagePoints,MeanPaperSavingsSacrificePercentagePoints,MedianPaperSavingsSacrificePercentagePoints,MeanEngineeringSavingsSacrificePercentagePoints,MedianEngineeringSavingsSacrificePercentagePoints,MeanVppAllDayPeakKW,MeanPeakGuardAllDayPeakKW,MeanPeakReductionKW,MedianPeakReductionKW,MeanPeakReductionPercent,MeanDaytimePeakChangeKW,MeanLoadRangeReductionKW,MeanGridImportChangeKWh,MeanBatteryThroughputChangeKWh,MeanPvCurtailmentChangeKWh,MeanPeakGuardPvCurtailmentKWh,MaximumPeakGuardPvCurtailmentKWh,MaximumPeakGuardCapViolationKW
2020-01,3,3,3,30.954860778606,33.6597007783489,2.70483999974287,2.9651561047459,92.864582335818,100.979102335047,8.1145199992286,36.3657365698332,30.8053658638842,5.56037070594899,32.5822970532403,26.6913288810556,5.89096817218476,6.20371744077957,6.1211767035327,6.62360845580353,6.5788725333998,78.049732108341,23.9057081666667,54.1440239416744,61.6767821671284,68.7367337994336,5.14105281202156,54.1440239416744,-5.21120094174432,-65.846459482209,NaN,0,0,0
2020-02,4,4,4,27.5475298846042,32.0158399026835,4.46831001807927,4.2822335449431,110.190119538417,128.063359610734,17.8732400723171,36.2618706810503,25.9233131783442,10.3385575027061,33.5329494990677,22.7517510079652,10.7811984911025,10.4122242696278,9.67713644739955,10.9521250283018,10.1417080270728,76.54717375,19.223898375,57.323275375,58.3239795,74.6694497100002,7.08990488668911,57.3356154729611,-8.58616179612827,-109.68324658611,NaN,0,0,0
2020-03,4,4,4,30.0737525901851,33.7683494137962,3.69459682361107,3.86065203281825,120.29501036074,135.073397655185,14.7783872944443,39.6044624092433,32.1847976808742,7.41966472836904,34.0423038790362,25.9393212582126,8.10298262082357,8.15789907041867,8.19337755402825,8.79300048798872,8.8504666981761,73.2680261881451,20.990954625,52.2770715631451,56.8726345,70.4543318131647,9.87613180269163,52.3539635631451,-6.676481651035,-83.48131100449,NaN,0,0,0
2020-04,4,4,4,19.8041884587923,21.4871931820523,1.6830047232601,2.0568683990399,79.216753835169,85.9487727282094,6.7320188930404,50.7905398865491,46.6086086767778,4.18193120977137,43.4872982767028,38.6847210783287,4.80257719837405,4.10523928767932,5.24689193714415,4.6294372564491,6.16049809234555,59.0600173373125,17.665095625,41.3949217123125,40.2689596830446,69.0688257449349,4.68107867227272,41.3949217123125,-2.92845895309124,-35.70816437195,NaN,0,0,0
2020-05,4,4,4,21.3644665572582,23.3122888394687,1.94782228221055,2.2569482884894,85.4578662290327,93.2491553578749,7.79128912884221,44.8384026495712,39.8092581982678,5.02914445130339,38.2645056924111,32.6360117118417,5.62849398056943,5.21575788620712,5.72976525879935,5.81683522802483,6.0121994690582,58.4423087880785,17.2918675,41.1504412880785,47.7750380900074,66.5991912213718,5.11512213249359,41.1504412880785,-3.19312277975101,-39.3256911515985,NaN,0,0,0
2020-06,4,4,4,21.9668288230062,24.2600020587259,2.2931732357197,2.0559269173183,87.8673152920249,97.0400082349037,9.1726929428788,45.0811161756323,39.3479939513747,5.73312222425761,38.7614668933775,32.368620377099,6.3928465162785,6.1636969272197,5.374634145825,6.62065475953935,6.2292501926148,52.0117286708606,18.191240125,33.8204885458606,36.3393109345784,64.41345231126,7.06567787265962,33.8342133473312,-3.84147954095324,-53.2974465078252,NaN,0,0,0
2020-07,4,4,4,22.6500722948202,25.026950375775,2.37687808095482,2.0339618519431,90.6002891792807,100.1078015031,9.5075123238193,43.1754326720963,37.2123140213746,5.96311865072165,37.7577359005018,31.2260890553423,6.53164684515958,5.6625531419372,5.42610571148925,6.1187495492446,6.2815443031107,61.4053262438628,18.2094085,43.1959177438628,44.5074049850545,69.3384436669679,4.89083093677872,43.2045657438628,-3.67250154020426,-53.7245930410063,NaN,0,0,0
2020-08,4,4,4,27.5113276824387,30.3262165672586,2.81488888481995,2.5478849757895,110.045310729755,121.304866269035,11.2595555392798,38.6992045407866,32.4270634881791,6.27214105260752,33.6330595659421,26.8425634799758,6.79049608596635,6.27194456168035,5.8240772657791,6.93610340350275,6.3914261989051,75.3580227678491,21.54579425,53.8122285178491,52.4168909605263,71.3085523914457,6.69112883245997,53.8164203928491,-5.29553298876225,-63.0243053103703,NaN,0,0,0
2020-09,4,4,4,25.0707768620031,30.2369535429786,5.16617668097552,5.39457359077355,100.283107448013,120.947814171915,20.6647067239021,41.8480011054837,29.8649858884211,11.9830152170626,36.1385148867584,22.9789818965975,13.159532990161,11.9391457885377,12.2489931840681,13.1463903397678,13.1453027360685,68.0894747519848,17.848147875,50.2413268769848,51.7123075697591,73.6032857799594,13.0084611634128,50.2413268769848,-8.26176112274826,-110.521802336748,NaN,0,0,0
2020-10,4,4,4,23.9097349959378,24.9473260955956,1.03759109965788,0.676421914405852,95.6389399837511,99.7893043823826,4.15036439863151,43.4181938992734,40.9627598084039,2.45543409086952,38.6175765841421,35.9538140529996,2.66376253114248,2.1307619908787,1.53150760522655,2.26762828245587,1.6154916432875,60.0247738899513,20.18795575,39.8368181399513,40.4190497861353,65.0071999425837,1.50417999061585,39.8368181399513,-2.23817906564399,-26.776500601344,NaN,0,0,0
