Dataset,Day,PeakGuardCapKW,VppBillEUR,PeakGuardBillEUR,BillPenaltyEUR,BillPenaltyPercentOfVpp,VppPaperSavingsPercent,PeakGuardPaperSavingsPercent,PaperSavingsSacrificePercentagePoints,VppEngineeringSavingsPercent,PeakGuardEngineeringSavingsPercent,EngineeringSavingsSacrificePercentagePoints,VppAllDayPeakKW,PeakGuardAllDayPeakKW,PeakReductionKW,PeakReductionPercent,VppPeakExcessOverCapKW,PeakGuardPeakExcessOverCapKW,PeakGuardCapViolationKW,VppCreatesNewPeak,PeakGuardCapSatisfied,VppDaytimePeakKW,PeakGuardDaytimePeakKW,DaytimePeakChangeKW,VppLoadRangeKW,PeakGuardLoadRangeKW,LoadRangeReductionKW,VppGridImportKWh,PeakGuardGridImportKWh,GridImportChangeKWh,VppBatteryThroughputKWh,PeakGuardBatteryThroughputKWh,BatteryThroughputChangeKWh,VppPvCurtailmentKWh,PeakGuardPvCurtailmentKWh,PvCurtailmentChangeKWh,VppEnergyBalanceResidualKW,PeakGuardEnergyBalanceResidualKW,VppTerminalSocErrorKWh,PeakGuardTerminalSocErrorKWh,VppSimultaneousChargeDischargeKW,PeakGuardSimultaneousChargeDischargeKW
StoreNet,02-Jan-2020,18.175861,24.4515710952055,29.6009349896882,5.1493638944827,21.0594397980929,40.6917955152014,28.2018198963954,12.489975618806,36.883635265481,23.5916824314702,13.2919528340108,79.8526431671284,18.175861,61.6767821671284,77.238247503018,61.6767821671284,0,0,1,1,6.66133814775094e-16,12.2467435,12.2467435,79.8526431671284,18.175861,61.6767821671284,268.698583463797,259.697760825712,-9.00082263808497,308.434210282316,189.328376678773,-119.105833603543,NaN,0,NaN,1.36002320516582e-15,4.39648317751562e-14,0,0,0,0
StoreNet,15-Jan-2020,22.857254,29.2608774081311,32.226033512877,2.9651561047459,10.133517404102,39.5947482060389,33.4735715025062,6.1211767035327,35.0780950873315,28.4992225539317,6.5788725333998,84.5514542105263,22.857254,61.6942002105263,72.9664566820018,61.6942002105263,0,0,1,1,8.43996556393533,10.29368,1.85371443606467,84.5514542105263,22.857254,61.6942002105263,307.001192119504,300.368411932356,-6.632780187148,322.266795707504,243.833250864419,-78.433544843085,NaN,0,NaN,3.77475828372553e-15,3.5527136788005e-15,0,0,0,0
StoreNet,16-Jan-2020,30.6840095,39.1521338324814,39.1521338324814,0,0,30.4159387166086,30.4159387166086,0,27.4069914078552,27.4069914078552,0,69.7450989473684,30.6840095,39.0610894473684,56.0054972132809,39.0610894473684,0,0,1,1,15.1974295,16.52013,1.3227005,69.7450989473684,30.6840095,39.0610894473684,366.516860386773,366.516860386773,0,320.13453448056,320.134534480561,1.02318153949454e-12,NaN,0,NaN,1.33226762955019e-14,1.16573417585641e-15,0,0,0,0
StoreNet,01-Feb-2020,20.613763,27.201245979818,29.8935324749582,2.6922864951402,9.8976587217282,34.4841736765607,27.9996407783464,6.4845328982143,33.4676539458624,26.8825093938647,6.5851445519977,67.4863957894737,20.613763,46.8726327894737,69.4549356816959,46.8726327894737,0,0,1,1,7.55566,12.763332,5.207672,67.4863957894737,20.613763,46.8726327894737,282.53540142691,276.513003349717,-6.02239807719303,319.999928048106,248.784391426552,-71.215536621554,NaN,0,NaN,1.77635683940025e-15,2.44249065417534e-15,0,0,0,0
StoreNet,02-Feb-2020,16.6183245,24.9107123536286,31.5271988409193,6.6164864872907,26.5608080305536,39.210405675169,23.0641982239982,16.1462074511708,35.2207774890075,18.0148925541776,17.2058849348299,82.3908342105263,16.6183245,65.7725097105263,79.8298868323913,65.7725097105263,0,0,1,1,2.68673971959288e-14,15.7867075,15.7867075,82.3908342105263,16.6183245,65.7725097105263,273.744091798117,262.696713757316,-11.047378040801,301.547372703501,144.861966018399,-156.685406685102,NaN,0,NaN,6.15063555642337e-14,7.49400541621981e-16,0,0,0,0
StoreNet,15-Feb-2020,21.9325045,30.3904003371308,33.196431735773,2.8060313986422,9.23328211380554,33.4102797168065,27.2618629842653,6.1484167325412,31.5606406655419,25.2414415413103,6.3191991242316,82.0704492105263,21.9325045,60.1379447105263,73.2760028597639,60.1379447105263,0,0,1,1,14.39623,14.58503,0.188800000000001,82.0704492105263,21.9325045,60.1379447105263,307.501745588574,301.224912663778,-6.276832924796,320.131319800459,245.906900659685,-74.224419140774,NaN,0,NaN,3.5527136788005e-15,1.77635683940025e-15,0,0,0,0
StoreNet,16-Feb-2020,17.7310015,27.6877608678395,33.4461965590835,5.758435691244,20.7977659108313,38.1196035585614,25.2498635619766,12.8697399965848,34.135851125173,20.4375796230251,13.6982715021479,74.2410157894737,17.7310015,56.5100142894737,76.1169734661497,56.5100142894737,0,0,1,1,7.85275995324353,15.0292,7.17644004675647,74.2410157894737,17.6816411081557,56.559374681318,290.076693673081,279.078655531358,-10.998038141723,319.999926761192,183.392302864181,-136.607623897011,NaN,0,NaN,1.94462501657e-15,2.22044604925031e-15,0,0,0,0
StoreNet,01-Mar-2020,17.5689575,23.6884277515283,28.5984743882579,4.9100466367296,20.7276172493669,43.3350698801991,31.5897800503455,11.7452898298536,38.0321207217297,25.1876558873799,12.8444648343498,79.2240289631067,17.5689575,61.6550714631067,77.8237010539043,61.6550714631067,0,0,1,1,4.44089209850063e-16,12.2011295,12.2011295,79.2240289631067,17.5689575,61.6550714631067,260.312392873937,251.402302387928,-8.91009048600898,293.904715593724,186.693207457245,-107.211508136479,NaN,0,NaN,2.66453525910038e-15,1.55431223447522e-15,0,0,0,0
StoreNet,02-Mar-2020,17.902966,25.4351374272709,31.6989637039705,6.2638262766996,24.6266657477686,39.9515097586161,25.1635687802889,14.7879409783272,35.9775348316394,20.2109363311456,15.7665985004938,78.3341842105263,17.902966,60.4312182105263,77.1453980399093,60.4312182105263,0,0,1,1,2.97210454829333e-05,16.6686915,16.6686617789545,78.3341842105263,17.902966,60.4312182105263,279.50697105498,269.026942989539,-10.480028065441,281.695404734475,145.568017296121,-136.127387438354,NaN,0,NaN,4.8017145815038e-15,3.44169137633799e-15,0,0,0,0
StoreNet,15-Mar-2020,24.77737,27.3147984834833,28.1080554355915,0.793256952108198,2.90412888305899,49.8334869437236,48.3765867484326,1.456900195291,41.3087323688811,39.6042623137722,1.7044700551089,58.4853157894737,24.77737,33.7079457894737,57.634887209655,33.7079457894737,0,0,1,1,2.26038778,11.665943211812,9.405555431812,58.4853157894737,24.77737,33.7079457894737,297.44986320637,295.675420711812,-1.774442494558,322.182054020847,301.199025631304,-20.983028389543,NaN,0,NaN,3.70814490224802e-14,1.33226762955019e-15,0,0,0,0
