Dataset,Day,Sequence,Strategy,Status,ErrorIdentifier,ErrorMessage,SourceEvidence,ReusedWithoutSolve,WallTimeSeconds,IntervalMinutes,HouseCount,PvHomeCount,PvBoundaryId,TransferLossFraction,BatteryCapacityKWhPerHome,BatteryPowerKWPerHome,PeakGuardCapKW,PaperLoadOnlyBaselineBillEUR,PaperSavingsPercent,PvSelfNoBatteryBaselineBillEUR,EngineeringSavingsPercent,OriginalLoadPeakKW,PvSelfNoBatteryPeakKW,OptimizedBillEUR,AllDayPeakKW,DaytimePeakKW,LoadRangeKW,TotalGridImportKWh,BatteryThroughputKWh,PvCurtailmentKWh,EnergyBalanceResidualKW,PvAllocationResidualKW,HomeBalanceResidualKW,BatteryDynamicsResidualKW,AggregateImportResidualKW,ChargeConversionResidualKW,DischargeConversionResidualKW,InitialSocErrorKWh,TerminalSocErrorKWh,SocBoundViolationKWh,ChargePowerViolationKW,DischargePowerViolationKW,AggregateImportNonnegativeViolationKW,SimultaneousChargeDischargeKW,MaximumLexicographicViolation,MinimumExitFlag,MaximumRelativeMipGap,StageCount,PeakExcessOverCapKW,CapViolationKW,ArtifactDirectory
StoreNet,01-Jan-2020,1,VPP_BM,quality_rejected,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/b2022_monthly_v1_2020/daily_metrics.csv;/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/evidence/monthly_daily_metrics_source.csv,1,NaN,60,20,10,DC_SOURCE,0.07,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
StoreNet,01-Jan-2020,2,IMPROVED_PEAK_GUARD,skipped_formal_unavailable,,,formal VPP_BM status=quality_rejected,1,NaN,60,20,10,DC_SOURCE,0.07,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
StoreNet,02-Jan-2020,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/b2022_monthly_v1_2020/daily_metrics.csv;/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/evidence/monthly_daily_metrics_source.csv,1,NaN,60,20,10,DC_SOURCE,0.07,10,3.3,18.175861,41.22797395,40.6917955152014,38.74046168225,36.883635265481,18.2204,18.175861,24.4515710952055,79.8526431671284,6.66133814775094e-16,79.8526431671284,268.698583463797,308.434210282316,NaN,1.36002320516582e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,61.6767821671284,NaN,
StoreNet,02-Jan-2020,2,IMPROVED_PEAK_GUARD,ok,,,new Peak Guard dispatch from frozen monthly input,0,1.94645645833333,60,20,10,DC_SOURCE,0.07,10,3.3,18.175861,41.22797395,28.2018198963954,38.74046168225,23.5916824314702,18.2204,18.175861,29.6009349896882,18.175861,12.2467435,18.175861,259.697760825712,189.328376678773,0,4.39648317751562e-14,1.99840144432528e-15,5.55111512312578e-17,4.39648317751562e-14,0,0,0,0,0,2.34257058195908e-14,8.88178419700125e-16,0,2.08166817117217e-17,0,0,1,2.74717024304739e-14,2,4.61852778244065e-14,4.61852778244065e-14,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/bahloul_vpp_improvement_v1/storenet_monthly/cases/2020-01-02/IMPROVED_PEAK_GUARD
StoreNet,15-Jan-2020,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/b2022_monthly_v1_2020/daily_metrics.csv;/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/evidence/monthly_daily_metrics_source.csv,1,NaN,60,20,10,DC_SOURCE,0.07,10,3.3,22.857254,48.44094932,39.5947482060389,45.07088547,35.0780950873315,22.874905,22.857254,29.2608774081311,84.5514542105263,8.43996556393533,84.5514542105263,307.001192119504,322.266795707504,NaN,3.77475828372553e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,61.6942002105263,NaN,
StoreNet,15-Jan-2020,2,IMPROVED_PEAK_GUARD,ok,,,new Peak Guard dispatch from frozen monthly input,0,1.162094875,60,20,10,DC_SOURCE,0.07,10,3.3,22.857254,48.44094932,33.4735715025062,45.07088547,28.4992225539317,22.874905,22.857254,32.226033512877,22.857254,10.29368,22.857254,300.368411932356,243.833250864419,0,3.5527136788005e-15,2.22044604925031e-16,0,3.5527136788005e-15,0,0,0,0,0,8.88178419700125e-16,8.88178419700125e-16,0,1.11022302462516e-15,0,7.105427357601e-15,1,0,2,0,0,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/bahloul_vpp_improvement_v1/storenet_monthly/cases/2020-01-15/IMPROVED_PEAK_GUARD
StoreNet,16-Jan-2020,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/b2022_monthly_v1_2020/daily_metrics.csv;/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/evidence/monthly_daily_metrics_source.csv,1,NaN,60,20,10,DC_SOURCE,0.07,10,3.3,30.6840095,56.26595101,30.4159387166086,53.933752839,27.4069914078552,30.69882,30.6840095,39.1521338324814,69.7450989473684,15.1974295,69.7450989473684,366.516860386773,320.13453448056,NaN,1.33226762955019e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,39.0610894473684,NaN,
StoreNet,16-Jan-2020,2,IMPROVED_PEAK_GUARD,ok,,,new Peak Guard dispatch from frozen monthly input,0,1.46132658333333,60,20,10,DC_SOURCE,0.07,10,3.3,30.6840095,56.26595101,30.4159387166086,53.933752839,27.4069914078552,30.69882,30.6840095,39.1521338324814,30.6840095,16.52013,30.6840095,366.516860386773,320.134534480561,0,1.16573417585641e-15,2.22044604925031e-16,2.22044604925031e-16,1.16573417585641e-15,0,0,0,0,0,1.11022302462516e-16,8.88178419700125e-16,4.44089209850063e-16,1.42941214420489e-15,0,0,1,0,2,1.06581410364015e-14,1.06581410364015e-14,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/bahloul_vpp_improvement_v1/storenet_monthly/cases/2020-01-16/IMPROVED_PEAK_GUARD
StoreNet,01-Feb-2020,1,VPP_BM,ok,,,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/b2022_monthly_v1_2020/daily_metrics.csv;/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/b2022_ir_v1_formal/evidence/monthly_daily_metrics_source.csv,1,NaN,60,20,10,DC_SOURCE,0.07,10,3.3,20.613763,41.51858796,34.4841736765607,40.884242918,33.4676539458624,20.61477,20.613763,27.201245979818,67.4863957894737,7.55566,67.4863957894737,282.53540142691,319.999928048106,NaN,1.77635683940025e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,46.8726327894737,NaN,
StoreNet,01-Feb-2020,2,IMPROVED_PEAK_GUARD,ok,,,new Peak Guard dispatch from frozen monthly input,0,0.804088791666667,60,20,10,DC_SOURCE,0.07,10,3.3,20.613763,41.51858796,27.9996407783464,40.884242918,26.8825093938647,20.61477,20.613763,29.8935324749582,20.613763,12.763332,20.613763,276.513003349717,248.784391426552,0,2.44249065417534e-15,2.15105711021124e-16,5.55111512312578e-17,2.44249065417534e-15,0,0,0,0,0,8.88178419700125e-16,8.88178419700125e-16,0,2.32452945780892e-16,0,7.105427357601e-15,1,0,2,7.105427357601e-15,7.105427357601e-15,/Users/guichenxiang/Desktop/電力專案/StoreNet/src/../results/bahloul_vpp_improvement_v1/storenet_monthly/cases/2020-02-01/IMPROVED_PEAK_GUARD
