TimeEnd,AggregateLoadKW,PvAvailableACKW,PvSelfNoBatteryImportKW,VppImportKW,PeakGuardImportKW,PeakGuardCapKW
24-Aug-2020 00:30:00,6.75743,0.004807,6.752623,6.75743,17.9361625,17.9361625
24-Aug-2020 01:00:00,6.37418,0.004427,6.369753,6.37418,17.9361625,17.9361625
24-Aug-2020 01:30:00,4.10152,0.003553,4.097967,4.10152,17.9361625,17.9361625
24-Aug-2020 02:00:00,4.11671,0.003135,4.113575,4.11671,17.9361625,17.9361625
24-Aug-2020 02:30:00,4.44797,0.004693,4.443277,4.44797,17.9361625,17.9361625
24-Aug-2020 03:00:00,4.4792,0.004351,4.474849,4.4792,17.9361625,17.9361625
24-Aug-2020 03:30:00,4.24431,0.003154,4.241156,4.24431,17.9361625,17.9361625
24-Aug-2020 04:00:00,3.74379,0.003192,3.740598,3.74379,17.9361625,17.9361625
24-Aug-2020 04:30:00,4.02711,0.003629,4.023481,4.02711,17.9361625,17.9361625
24-Aug-2020 05:00:00,5.83211,0.006441,5.825669,5.83211,17.9361625,17.9361625
24-Aug-2020 05:30:00,7.76492,0.003591,7.761329,7.76492,17.9361625,17.9361625
24-Aug-2020 06:00:00,10.10506,0.001064,10.103996,10.10506,17.9361625,17.9361625
24-Aug-2020 06:30:00,10.5033,0,10.5033,10.5033,17.9361625,17.9361625
24-Aug-2020 07:00:00,10.14938,0,10.14938,10.14938,17.9361625,17.9361625
24-Aug-2020 07:30:00,10.0849,0.07619,10.00871,10.0849,17.9361625,17.9361625
24-Aug-2020 08:00:00,10.6098,0.388588,10.259937,34.9852846086345,17.9361625,17.9361625
24-Aug-2020 08:30:00,7.82226,1.249174,6.642906,42.5478016483484,17.9361625,17.9361625
24-Aug-2020 09:00:00,10.41748,1.460131,9.106279,66.0932241050844,17.9361625,17.9361625
24-Aug-2020 09:30:00,8.14186,2.009022,6.623752,75.5007842105263,17.9361625,17.9361625
24-Aug-2020 10:00:00,5.45138,3.660673,4.083714,71.0717242105263,17.9361625,17.9361625
24-Aug-2020 10:30:00,6.84392,5.845578,5.285666,-2.22044604925031e-16,1.11022302462516e-16,17.9361625
24-Aug-2020 11:00:00,9.1955,4.427418,7.573572,0,2.1094237467878e-15,17.9361625
24-Aug-2020 11:30:00,14.25528,3.627746,12.241547,-4.16333634234434e-16,-3.05311331771918e-16,17.9361625
24-Aug-2020 12:00:00,10.01139,4.309922,8.13115,-3.33066907387547e-16,-2.77555756156289e-16,17.9361625
24-Aug-2020 12:30:00,10.05596,5.069561,8.007025,5.55111512312578e-17,1.66533453693773e-16,17.9361625
24-Aug-2020 13:00:00,9.40188,4.902171,7.038103,-3.88578058618805e-16,-1.66533453693773e-16,17.9361625
24-Aug-2020 13:30:00,10.58522,6.809847,7.959044,-1.22124532708767e-15,-5.55111512312578e-16,17.9361625
24-Aug-2020 14:00:00,10.44682,6.453787,7.615169,0,0,17.9361625
24-Aug-2020 14:30:00,14.32608,4.7234,12.080702,1.11022302462516e-16,-3.81639164714898e-16,17.9361625
24-Aug-2020 15:00:00,8.92004,4.525458,6.308792,-2.77555756156289e-16,-4.16333634234434e-15,17.9361625
24-Aug-2020 15:30:00,7.60056,3.510117,5.717887,5.55111512312578e-17,-5.55111512312578e-17,17.9361625
24-Aug-2020 16:00:00,10.59344,3.117691,8.792708,1.11022302462516e-16,8.32667268468867e-17,17.9361625
24-Aug-2020 16:30:00,12.01244,2.07157,10.488988,5.27355936696949e-16,2.77555756156289e-17,17.9361625
24-Aug-2020 17:00:00,9.71752,1.523382,8.504433,9.71445146547012e-17,4.16333634234434e-17,17.9361625
24-Aug-2020 17:30:00,10.7835,1.246723,9.683751,4.44089209850063e-16,0,17.9361625
24-Aug-2020 18:00:00,18.87078,1.0011955,17.9361625,4.44089209850063e-16,2.22044604925031e-16,17.9361625
24-Aug-2020 18:30:00,18.22888,0.725876,17.526933,-5.55111512312578e-16,1.11022302462516e-16,17.9361625
24-Aug-2020 19:00:00,12.09404,0.84094,11.453067,0,-1.11022302462516e-16,17.9361625
24-Aug-2020 19:30:00,16.00942,0.335198,15.70385,-5.55111512312578e-17,1.36526696,17.9361625
24-Aug-2020 20:00:00,13.29302,0.088711,13.204309,-1.11022302462516e-16,1.15194301231888,17.9361625
24-Aug-2020 20:30:00,12.19997,0.013357,12.186613,-1.11022302462516e-16,2.60615,17.9361625
24-Aug-2020 21:00:00,15.5166,0.011191,15.505409,6.10622663543836e-16,4.24314,17.9361625
24-Aug-2020 21:30:00,14.87162,0.00893,14.86269,6.7168492989822e-15,7.10026,17.9361625
24-Aug-2020 22:00:00,16.79454,0.003154,16.791386,-1.11022302462516e-16,7.2084505,17.9361625
24-Aug-2020 22:30:00,12.835,0.009633,12.825367,12.825367,12.825367,17.9361625
24-Aug-2020 23:00:00,9.01564,0.006023,9.009617,9.009617,9.009617,17.9361625
24-Aug-2020 23:30:00,10.04552,0.003629,10.041891,10.041891,10.041891,17.9361625
25-Aug-2020 00:00:00,11.0438,0.004237,11.039563,11.039563,11.039563,17.9361625
