CaseId,CaseKind,Strategy,CapRatio,DemandChargeEURPerKW,EtaBattery
ANCHOR_VPP_BM,anchor,VPP_BM,NaN,NaN,NaN
ANCHOR_VPP_BM_PEAK_LEX,anchor,VPP_BM_PEAK_LEX,NaN,NaN,NaN
ANCHOR_PS,anchor,PS,NaN,NaN,NaN
FRONTIER_R2.000,frontier,IMPROVED_PEAK_GUARD,2,NaN,NaN
FRONTIER_R1.500,frontier,IMPROVED_PEAK_GUARD,1.5,NaN,NaN
FRONTIER_R1.250,frontier,IMPROVED_PEAK_GUARD,1.25,NaN,NaN
FRONTIER_R1.000,frontier,IMPROVED_PEAK_GUARD,1,NaN,NaN
FRONTIER_R0.900,frontier,IMPROVED_PEAK_GUARD,0.9,NaN,NaN
FRONTIER_R0.800,frontier,IMPROVED_PEAK_GUARD,0.8,NaN,NaN
FRONTIER_R0.700,frontier,IMPROVED_PEAK_GUARD,0.7,NaN,NaN
FRONTIER_R0.600,frontier,IMPROVED_PEAK_GUARD,0.6,NaN,NaN
FRONTIER_R0.500,frontier,IMPROVED_PEAK_GUARD,0.5,NaN,NaN
TARIFF_L0.050,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.05,NaN
TARIFF_L0.100,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.1,NaN
TARIFF_L0.200,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.2,NaN
TARIFF_L0.500,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.5,NaN
TARIFF_L1.000,tariff,VPP_BM_DEMAND_CHARGE,NaN,1,NaN
