Day,CaseId,IntervalEnd,IntervalIndex,AggregateLoadKW,PvAvailableACKW,BatteryNetDischargeKW,AggregateImportKW,CapKW
2020-01-02,ANCHOR_VPP_BM,2020-01-02 01:00:00,1,5.654185,0.000779,-0.000778999999999962,5.654185,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 02:00:00,2,11.830165,0.0103265,-0.0103265,11.830165,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 03:00:00,3,10.74671,0.01094875,-0.01094875,10.74671,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 04:00:00,4,8.57618,0.0002565,-0.0002565,8.57618,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 05:00:00,5,4.1025,9.5e-05,-9.5e-05,4.1025,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 06:00:00,6,3.82203,0,0,3.82203,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 07:00:00,7,9.49596,0,0,9.49596,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 08:00:00,8,13.27727,0.018924,-21.1195664568353,35.4884725861424,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 09:00:00,9,10.75213,0.0209665,-65.6664540087719,79.8526431671284,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 10:00:00,10,10.07331,0.38988,-66,79.1365942105263,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 11:00:00,11,11.68236,1.081936,11.3816398245614,4.44089209850063e-16,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 12:00:00,12,11.82865,2.860488,9.66926922410866,2.35922392732846e-16,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 13:00:00,13,15.2313,3.939251,12.1735326525184,-4.44089209850063e-16,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 14:00:00,14,18.2204,4.985752,14.2642960005064,-2.22044604925031e-16,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 15:00:00,15,8.88117,4.398177,4.89798168799178,3.7470027081099e-16,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 16:00:00,16,8.37515,1.460416,7.68420172807018,6.66133814775094e-16,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 17:00:00,17,12.05885,0.5692685,12.1724157923033,-5.55111512312578e-17,NaN
2020-01-02,ANCHOR_VPP_BM,2020-01-02 18:00:00,18,18.20172,0.025859,19.591188409734,-6.66133814775094e-16,NaN
