CapRatio,PlannedDays,FeasibleDays,InfeasibleDays,TimeLimitedDays,FailedDays,AllDaysFeasible,SummedVppBillEUR,SummedBillEUR,SummedBillPenaltyEUR,SummedBillPenaltyPercentOfVpp,AggregatedVppPaperSavingsPercent,AggregatedPaperSavingsPercent,AggregatedPaperSavingsSacrificePP,MeanDailyPaperSavingsSacrificePP,MedianDailyPaperSavingsSacrificePP,MeanCapKW,MeanPeakKW,MeanVppPeakKW,MeanPeakReductionVsVppKW,MeanPeakReductionVsVppPercent,DaysWithZeroPenalty,MeanMarginalCostEURPerKW,MedianMarginalCostEURPerKW,MaxMarginalCostEURPerKW,KneeDays
3,1,1,0,0,0,1,19.558045178632,19.558045178632,0,0,46.666430615768,46.666430615768,0,0,0,53.8084875,53.8084875,75.5007842105263,21.6922967105263,28.7312203937373,1,NaN,NaN,NaN,0
2.5,1,1,0,0,0,1,19.558045178632,19.558045178632,0,0,46.666430615768,46.666430615768,0,0,0,44.84040625,44.84040625,75.5007842105263,30.6603779605263,40.6093503281144,1,0,0,0,0
2,1,1,0,0,0,1,19.558045178632,19.558045178632,0,0,46.666430615768,46.666430615768,0,0,0,35.872325,35.872325,75.5007842105263,39.6284592105263,52.4874802624915,1,0,0,0,0
1.75,1,1,0,0,0,1,19.558045178632,19.558045178632,0,0,46.666430615768,46.666430615768,0,0,0,31.388284375,31.3882843750002,75.5007842105263,44.1124998355261,58.4265452296798,1,0,0,0,0
1.5,1,1,0,0,0,1,19.558045178632,19.558045178632,0,0,46.666430615768,46.666430615768,0,0,0,26.90424375,26.90424375,75.5007842105263,48.5965404605263,64.3656101968686,1,0,0,0,0
1.25,1,1,0,0,0,1,19.558045178632,19.558045178632,0,0,46.666430615768,46.666430615768,0,0,0,22.420203125,22.420203125,75.5007842105263,53.0805810855263,70.3046751640572,1,0,0,0,0
1.1,1,1,0,0,0,1,19.558045178632,19.5580451786856,5.35997912720632e-11,2.74054951721981e-10,46.666430615768,46.6664306156219,1.46172851600568e-10,1.46201273309998e-10,1.46201273309998e-10,19.72977875,19.72977875,75.5007842105263,55.7710054605263,73.8681141443703,1,1.99224299965923e-11,1.99224299965923e-11,1.99224299965923e-11,1
1,1,1,0,0,0,1,19.558045178632,20.5711012198149,1.0130560411829,5.17974077639266,46.666430615768,43.9038899748673,2.76254064090073,2.7625406409009,2.7625406409009,17.9361625,17.9361625,75.5007842105263,57.5646217105263,76.2437401312458,0,0.564812033303834,0.564812033303834,0.564812033303834,0
0.95,1,1,0,0,0,1,19.558045178632,21.2610465533017,1.7030013746697,8.70742121267979,46.666430615768,42.0224520817261,4.64397853404191,4.643978534042,4.643978534042,17.039354375,17.039354375,75.5007842105263,58.4614298355263,77.4315531246835,0,0.769334391887675,0.769334391887675,0.769334391887675,0
0.9,1,1,0,0,0,1,19.558045178632,21.989049802167,2.431004623535,12.4296912157201,46.666430615768,40.0372326269861,6.6291979887819,6.6291979887819,6.6291979887819,16.14254625,16.14254625,75.5007842105263,59.3582379605263,78.6193661181212,0,0.811771468802537,0.811771468802537,0.811771468802537,0
0.85,1,1,0,0,0,1,19.558045178632,22.7431309894813,3.1850858108493,16.2852973380445,46.666430615768,37.9809002605536,8.68553035521446,8.6855303552146,8.6855303552146,15.245738125,15.2457381250002,75.5007842105263,60.2550460855261,79.8071791115586,0,0.840850084085123,0.840850084085123,0.840850084085123,0
0.8,1,1,0,0,0,1,19.558045178632,23.4972121767957,3.9391669981637,20.1409034603694,46.666430615768,35.9245678941208,10.7418627216473,10.7418627216474,10.7418627216474,14.34893,14.34893,75.5007842105263,61.1518542105263,80.9949921049966,0,0.840850084084853,0.840850084084853,0.840850084084853,0
0.75,1,1,0,0,0,1,19.558045178632,24.2512933641101,4.6932481854781,23.9965095826943,46.666430615768,33.8682355276879,12.7981950880801,12.7981950880801,12.7981950880801,13.452121875,13.452121875,75.5007842105263,62.0486623355263,82.1828050984343,0,0.840850084085045,0.840850084085045,0.840850084085045,0
0.7,1,1,0,0,0,1,19.558045178632,25.0184941828745,5.4604490042425,27.9191961894447,46.666430615768,31.7761267445507,14.8903038712174,14.8903038712174,14.8903038712174,12.55531375,12.55531375,75.5007842105263,62.9454704605263,83.370618091872,0,0.855479335409011,0.855479335409011,0.855479335409011,0
0.65,1,1,0,0,0,1,19.558045178632,25.8175990888393,6.2595539102073,32.0050079291469,46.666430615768,29.5970175054475,17.0694131103205,17.0694131103205,17.0694131103205,11.658505625,11.658505625,75.5007842105263,63.8422785855263,84.5584310853097,0,0.89105448945927,0.89105448945927,0.89105448945927,0
0.6,1,1,0,0,0,1,19.558045178632,26.6192086366729,7.0611634580409,36.1036258662268,46.666430615768,27.4110782641805,19.2553523515876,19.2553523515878,19.2553523515878,10.7616975,10.7616975,75.5007842105263,64.7390867105263,85.7462440787475,0,0.893847329754734,0.893847329754734,0.893847329754734,0
0.55,1,1,0,0,0,1,19.558045178632,27.4682264680452,7.9101812894132,40.4446416662101,46.666430615768,25.0958595905159,21.5705710252522,21.5705710252523,21.5705710252523,9.864889375,9.86488937500001,75.5007842105263,65.6358948355263,86.9340570721852,0,0.946710681699395,0.946710681699395,0.946710681699395,0
0.5,1,1,0,0,0,1,19.558045178632,28.4458489613999,8.8878037827679,45.4432112288922,46.666430615768,22.4299440245837,24.2364865911843,24.2364865911844,24.2364865911844,8.96808125,8.96808125,75.5007842105263,66.5327029605263,88.1218700656229,0,1.09011333205159,1.09011333205159,1.09011333205159,0
