CaseId,CaseKind,Strategy,CapRatio,DemandChargeEURPerKW,EtaBattery
ANCHOR_SH_BM,anchor,SH_BM,NaN,NaN,NaN
ANCHOR_VPP_BM,anchor,VPP_BM,NaN,NaN,NaN
ANCHOR_VPP_BM_PEAK_LEX,anchor,VPP_BM_PEAK_LEX,NaN,NaN,NaN
ANCHOR_PS,anchor,PS,NaN,NaN,NaN
ANCHOR_PSDT,anchor,PSDT,NaN,NaN,NaN
ANCHOR_LL,anchor,LL,NaN,NaN,NaN
FRONTIER_R3.000,frontier,IMPROVED_PEAK_GUARD,3,NaN,NaN
FRONTIER_R2.500,frontier,IMPROVED_PEAK_GUARD,2.5,NaN,NaN
FRONTIER_R2.000,frontier,IMPROVED_PEAK_GUARD,2,NaN,NaN
FRONTIER_R1.750,frontier,IMPROVED_PEAK_GUARD,1.75,NaN,NaN
FRONTIER_R1.500,frontier,IMPROVED_PEAK_GUARD,1.5,NaN,NaN
FRONTIER_R1.250,frontier,IMPROVED_PEAK_GUARD,1.25,NaN,NaN
FRONTIER_R1.100,frontier,IMPROVED_PEAK_GUARD,1.1,NaN,NaN
FRONTIER_R1.000,frontier,IMPROVED_PEAK_GUARD,1,NaN,NaN
FRONTIER_R0.950,frontier,IMPROVED_PEAK_GUARD,0.95,NaN,NaN
FRONTIER_R0.900,frontier,IMPROVED_PEAK_GUARD,0.9,NaN,NaN
FRONTIER_R0.850,frontier,IMPROVED_PEAK_GUARD,0.85,NaN,NaN
FRONTIER_R0.800,frontier,IMPROVED_PEAK_GUARD,0.8,NaN,NaN
FRONTIER_R0.750,frontier,IMPROVED_PEAK_GUARD,0.75,NaN,NaN
FRONTIER_R0.700,frontier,IMPROVED_PEAK_GUARD,0.7,NaN,NaN
FRONTIER_R0.650,frontier,IMPROVED_PEAK_GUARD,0.65,NaN,NaN
FRONTIER_R0.600,frontier,IMPROVED_PEAK_GUARD,0.6,NaN,NaN
FRONTIER_R0.550,frontier,IMPROVED_PEAK_GUARD,0.55,NaN,NaN
FRONTIER_R0.500,frontier,IMPROVED_PEAK_GUARD,0.5,NaN,NaN
TARIFF_L0.020,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.02,NaN
TARIFF_L0.050,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.05,NaN
TARIFF_L0.100,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.1,NaN
TARIFF_L0.200,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.2,NaN
TARIFF_L0.300,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.3,NaN
TARIFF_L0.500,tariff,VPP_BM_DEMAND_CHARGE,NaN,0.5,NaN
TARIFF_L1.000,tariff,VPP_BM_DEMAND_CHARGE,NaN,1,NaN
TARIFF_L2.000,tariff,VPP_BM_DEMAND_CHARGE,NaN,2,NaN
ETA0.8469_SH_BM,efficiency,SH_BM,NaN,NaN,0.8469
ETA0.8469_VPP_BM,efficiency,VPP_BM,NaN,NaN,0.8469
ETA0.8469_VPP_BM_PEAK_LEX,efficiency,VPP_BM_PEAK_LEX,NaN,NaN,0.8469
ETA0.8469_PS,efficiency,PS,NaN,NaN,0.8469
ETA0.8469_PSDT,efficiency,PSDT,NaN,NaN,0.8469
ETA0.8469_LL,efficiency,LL,NaN,NaN,0.8469
ETA0.8469_IMPROVED_PEAK_GUARD,efficiency,IMPROVED_PEAK_GUARD,1,NaN,0.8469
