Day,CaseId,IntervalEnd,IntervalIndex,AggregateLoadKW,PvAvailableACKW,BatteryNetDischargeKW,AggregateImportKW,CapKW
2020-08-24,ANCHOR_SH_BM,2020-08-24 00:30:00,1,6.75743,0.004807,3.46944695195361e-16,6.752623,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 01:00:00,2,6.37418,0.004427,0,6.369753,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 01:30:00,3,4.10152,0.003553,0,4.097967,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 02:00:00,4,4.11671,0.003135,-1.89906570001672e-16,4.113575,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 02:30:00,5,4.44797,0.004693,0,4.443277,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 03:00:00,6,4.4792,0.004351,-0.00057,4.475419,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 03:30:00,7,4.24431,0.003154,-5.84327907697451e-17,4.241156,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 04:00:00,8,3.74379,0.003192,6.75629143275177e-17,3.740598,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 04:30:00,9,4.02711,0.003629,0,4.023481,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 05:00:00,10,5.83211,0.006441,0,5.825669,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 05:30:00,11,7.76492,0.003591,0,7.761329,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 06:00:00,12,10.10506,0.001064,7.30409884621813e-18,10.103996,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 06:30:00,13,10.5033,0,0,10.5033,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 07:00:00,14,10.14938,0,0,10.14938,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 07:30:00,15,10.0849,0.07619,-0.042047,10.050757,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 08:00:00,16,10.6098,0.388588,-19.5052090526316,30.7406178448754,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 08:30:00,17,7.82226,1.249174,-30.4012201052632,38.5416826765928,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 09:00:00,18,10.41748,1.460131,-38.1061758947368,49.126258099723,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 09:30:00,19,8.14186,2.009022,-45.3766405296112,54.0518698919668,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 10:00:00,20,5.45138,3.660673,-50.7958411052631,55.6817390581717,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 10:30:00,21,6.84392,5.845578,1.84725757894737,5.80091530366644e-16,NaN
2020-08-24,ANCHOR_SH_BM,2020-08-24 11:00:00,22,9.1955,4.427418,5.54654605263158,3.95516952522712e-16,NaN
