HouseID,RowsInFile,PlotDenominatorRows,AvailableRows,MissingRowsOnPlotGrid,ReproducedAvailablePercent,PaperAvailablePercent,RoundedMatch,StartTimestamp,EndTimestamp
H1,527040,527040,525084,1956,99.62887067395265,99.63,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H2,527040,527040,525695,1345,99.74480115361263,99.74,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H3,527040,527040,525944,1096,99.79204614450516,99.79,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H4,526980,527040,524471,2569,99.51256071645416,99.51,True,2020-01-01 01:00:00,2020-12-31 23:59:00
H5,527040,527040,525061,1979,99.62450667880995,99.62,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H6,527040,527040,522105,4935,99.06363843351548,99.06,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H7,527040,527040,525112,1928,99.63418336369156,99.63,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H8,527040,527040,524008,3032,99.42471159684274,99.42,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H9,527040,527040,524841,2199,99.58276411657559,99.58,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H10,527040,527040,524723,2317,99.56037492410444,99.56,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H11,527040,527040,523784,3256,99.3822100789314,99.38,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H12,527040,527040,522578,4462,99.15338494231936,99.15,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H13,527040,527040,523555,3485,99.3387598664238,99.34,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H14,498180,527040,486211,40829,92.2531496660595,92.25,True,2020-01-01 01:00:00,2020-12-11 23:59:00
H15,527040,527040,524956,2084,99.60458409228902,99.6,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H16,527040,527040,508138,18902,96.41355494839101,96.41,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H17,527040,527040,524789,2251,99.57289769277475,99.57,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H18,527040,527040,524548,2492,99.52717061323618,99.53,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H19,527040,527040,524129,2911,99.44767000607165,99.45,True,2020-01-01 01:00:00,2021-01-01 00:59:00
H20,527040,527040,524903,2137,99.59452792956891,99.59,True,2020-01-01 01:00:00,2021-01-01 00:59:00
