HouseID,PaperLegacyProductionKWh,Calendar2020ProductionKWh,PaperLegacyConsumptionKWh,Calendar2020ConsumptionKWh,PaperLegacyFeedInKWh,Calendar2020FeedInKWh,PaperLegacyFromGridKWh,Calendar2020FromGridKWh,ReleasedRows,ReleaseStartTimestamp,ReleaseEndTimestamp,ReleaseIntervalComplete
H1,2084.44889,2084.44889,3186.876865,3186.645945,875.42721,875.42721,2384.56648,2384.32836,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H2,1916.8498899999997,1916.8498900000002,4885.312005000001,4884.748095000001,151.86829500000002,151.868295,3730.204835,3729.632915,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H3,1919.9558,1919.9558,5294.8136349999995,5293.871835,131.381575,131.381575,4104.31536,4103.365470000001,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H4,1864.890715,1864.890715,7875.426459999999,7875.426459999999,160.62320000000003,160.62320000000003,6609.8612,6609.8612,526979,2020-01-01 01:01:00,2020-12-31 23:59:00,False
H5,1808.9017999999999,1808.9017999999999,2449.9372249999997,2449.8643150000003,172.18014499999998,172.180145,1279.9438599999999,1279.8619700000002,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H6,0.0,0.0,6261.265275,6260.570515,0.0,0.0,7043.16053,7042.4597699999995,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H7,1842.598415,1842.598415,6531.316854999999,6529.475945,474.26484500000004,474.264845,5762.82878,5760.98067,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H8,0.0,0.0,6823.884564999999,6823.089545,0.0,0.0,7582.39271,7581.5904900000005,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H9,0.0,0.0,3862.5421749999996,3862.036085,0.0,0.0,4450.96866,4450.454559999999,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H10,1929.0719450000001,1929.071945,7986.09791,7984.76104,323.34959,323.34959,6986.4215,6985.07743,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H11,1747.5483900000002,1747.5483900000002,6095.93823,6095.21829,156.175935,156.175935,5039.684540000001,5038.9574,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H12,0.0,0.0,2934.67831,2934.56959,0.0,0.0,3708.9485600000003,3708.8318799999997,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H13,1851.326435,1851.326435,2770.03319,2769.11906,502.31492999999995,502.31493,2006.4337199999998,2005.51239,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H14,0.0,0.0,5294.417925,5294.417925,0.0,0.0,5948.17957,5948.17957,498179,2020-01-01 01:01:00,2020-12-11 23:59:00,False
H15,0.0,0.0,5856.250099999999,5855.617050000001,0.0,0.0,6592.6682550000005,6592.028005,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H16,0.0,0.0,5858.8784350000005,5858.326485,0.0,0.0,6529.3137449999995,6528.754615,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H17,2081.3211549999996,2081.3211549999996,1842.0309750000001,1841.789765,658.85863,658.85863,897.88263,897.85619,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H18,0.0,0.0,5767.713345,5766.461944999999,0.0,0.0,6526.688845,6525.429645,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H19,0.0,0.0,5091.975495,5091.133935000001,0.0,0.0,5712.876560000001,5712.0278,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H20,0.0,0.0,3392.861575,3390.8994350000007,0.0,0.0,4224.81558,4222.84578,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
