HouseID,PaperLegacyProductionKWh,Calendar2020ProductionKWh,PaperLegacyConsumptionKWh,Calendar2020ConsumptionKWh,PaperLegacyFeedInKWh,Calendar2020FeedInKWh,PaperLegacyFromGridKWh,Calendar2020FromGridKWh,ReleasedRows,ReleaseStartTimestamp,ReleaseEndTimestamp,ReleaseIntervalComplete
H10,1929.0719450000001,1929.071945,7986.09791,7984.76104,323.34959,323.34959,6986.4215,6985.07743,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H11,1747.5483900000002,1747.5483900000002,6095.93823,6095.21829,156.175935,156.175935,5039.684540000001,5038.9574,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H13,1851.326435,1851.326435,2770.03319,2769.11906,502.31492999999995,502.31493,2006.4337199999998,2005.51239,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H17,2081.3211549999996,2081.3211549999996,1842.0309750000001,1841.789765,658.85863,658.85863,897.88263,897.85619,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H1,2084.44889,2084.44889,3186.876865,3186.645945,875.42721,875.42721,2384.56648,2384.32836,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H2,1916.8498899999997,1916.8498900000002,4885.312005000001,4884.748095000001,151.86829500000002,151.868295,3730.204835,3729.632915,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H3,1919.9558,1919.9558,5294.8136349999995,5293.871835,131.381575,131.381575,4104.31536,4103.365470000001,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H4,1864.890715,1864.890715,7875.426459999999,7875.426459999999,160.62320000000003,160.62320000000003,6609.8612,6609.8612,526979,2020-01-01 01:01:00,2020-12-31 23:59:00,False
H5,1808.9017999999999,1808.9017999999999,2449.9372249999997,2449.8643150000003,172.18014499999998,172.180145,1279.9438599999999,1279.8619700000002,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
H7,1842.598415,1842.598415,6531.316854999999,6529.475945,474.26484500000004,474.264845,5762.82878,5760.98067,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True
