date,Discharge(Wh),Charge(Wh),Production(Wh),Consumption(Wh),Feed-in(Wh),From grid(Wh),State of Charge(%),Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-12-07 00:00:00,1.48,0.0,0.0,1.93,0.0,0.45,89.0,88.8,0.0,0.0,115.8,0.0,27.0
2020-12-07 00:01:00,1.4,0.0,0.0,1.92,0.0,0.52,89.0,84.0,0.0,0.0,115.2,0.0,31.200000000000003
2020-12-07 00:02:00,1.38,0.0,0.0,1.88,0.0,0.5,89.0,82.8,0.0,0.0,112.8,0.0,30.0
2020-12-07 00:03:00,1.43,0.0,0.0,1.9,0.0,0.47,89.0,85.8,0.0,0.0,114.0,0.0,28.2
2020-12-07 00:04:00,1.42,0.0,0.0,1.9,0.0,0.48,89.0,85.2,0.0,0.0,114.0,0.0,28.8
2020-12-07 00:05:00,1.38,0.0,0.0,1.88,0.0,0.5,89.0,82.8,0.0,0.0,112.8,0.0,30.0
2020-12-07 00:06:00,1.37,0.0,0.0,1.87,0.0,0.5,89.0,82.2,0.0,0.0,112.2,0.0,30.0
2020-12-07 00:07:00,1.43,0.0,0.0,1.9,0.0,0.47,89.0,85.8,0.0,0.0,114.0,0.0,28.2
2020-12-07 00:08:00,1.4,0.0,0.0,1.88,0.0,0.48,89.0,84.0,0.0,0.0,112.8,0.0,28.8
2020-12-07 00:09:00,1.37,0.0,0.0,1.87,0.0,0.5,89.0,82.2,0.0,0.0,112.2,0.0,30.0
2020-12-07 00:10:00,1.4,0.0,0.0,1.88,0.0,0.48,89.0,84.0,0.0,0.0,112.8,0.0,28.8
2020-12-07 00:11:00,1.37,0.0,0.0,1.9,0.0,0.53,89.0,82.2,0.0,0.0,114.0,0.0,31.8
2020-12-07 00:12:00,1.38,0.0,0.0,1.87,0.0,0.49,89.0,82.8,0.0,0.0,112.2,0.0,29.4
2020-12-07 00:13:00,1.4,0.0,0.0,1.9,0.0,0.5,89.0,84.0,0.0,0.0,114.0,0.0,30.0
2020-12-07 00:14:00,1.4,0.0,0.0,1.87,0.0,0.47,89.0,84.0,0.0,0.0,112.2,0.0,28.2
2020-12-07 00:15:00,1.38,0.0,0.0,1.88,0.0,0.5,89.0,82.8,0.0,0.0,112.8,0.0,30.0
2020-12-07 00:16:00,1.37,0.0,0.0,1.87,0.0,0.5,88.0,82.2,0.0,0.0,112.2,0.0,30.0
2020-12-07 00:17:00,1.37,0.0,0.0,1.88,0.0,0.51,88.0,82.2,0.0,0.0,112.8,0.0,30.6
2020-12-07 00:18:00,1.42,0.0,0.0,1.9,0.0,0.48,88.0,85.2,0.0,0.0,114.0,0.0,28.8
2020-12-07 00:19:00,1.42,0.0,0.0,1.88,0.0,0.46,88.0,85.2,0.0,0.0,112.8,0.0,27.6
2020-12-07 00:20:00,1.42,0.0,0.0,1.9,0.0,0.48,88.0,85.2,0.0,0.0,114.0,0.0,28.8
2020-12-07 00:21:00,1.42,0.0,0.0,1.9,0.0,0.48,88.0,85.2,0.0,0.0,114.0,0.0,28.8
2020-12-07 00:22:00,1.37,0.0,0.0,1.88,0.0,0.51,88.0,82.2,0.0,0.0,112.8,0.0,30.6
2020-12-07 00:23:00,1.38,0.0,0.0,1.88,0.0,0.5,88.0,82.8,0.0,0.0,112.8,0.0,30.0
2020-12-07 00:24:00,1.4,0.0,0.0,1.92,0.0,0.52,88.0,84.0,0.0,0.0,115.2,0.0,31.200000000000003
2020-12-07 00:25:00,1.47,0.0,0.0,1.92,0.0,0.45,88.0,88.2,0.0,0.0,115.2,0.0,27.0
2020-12-07 00:26:00,1.42,0.0,0.0,1.92,0.0,0.5,88.0,85.2,0.0,0.0,115.2,0.0,30.0
2020-12-07 00:27:00,1.42,0.0,0.0,1.92,0.0,0.5,88.0,85.2,0.0,0.0,115.2,0.0,30.0
2020-12-07 00:28:00,1.4,0.0,0.0,1.92,0.0,0.52,88.0,84.0,0.0,0.0,115.2,0.0,31.200000000000003
2020-12-07 00:29:00,1.42,0.0,0.0,1.92,0.0,0.5,88.0,85.2,0.0,0.0,115.2,0.0,30.0
2020-12-07 00:30:00,1.45,0.0,0.0,1.92,0.0,0.47,88.0,87.0,0.0,0.0,115.2,0.0,28.2
2020-12-07 00:31:00,1.48,0.0,0.0,1.93,0.0,0.45,88.0,88.8,0.0,0.0,115.8,0.0,27.0
2020-12-07 00:32:00,1.42,0.0,0.0,1.93,0.0,0.51,88.0,85.2,0.0,0.0,115.8,0.0,30.6
2020-12-07 00:33:00,1.45,0.0,0.0,1.93,0.0,0.48,88.0,87.0,0.0,0.0,115.8,0.0,28.8
2020-12-07 00:34:00,1.4,0.0,0.0,1.93,0.0,0.53,88.0,84.0,0.0,0.0,115.8,0.0,31.8
2020-12-07 00:35:00,1.48,0.0,0.0,1.93,0.0,0.45,88.0,88.8,0.0,0.0,115.8,0.0,27.0
2020-12-07 00:36:00,1.45,0.0,0.0,1.93,0.0,0.48,88.0,87.0,0.0,0.0,115.8,0.0,28.8
2020-12-07 00:37:00,1.43,0.0,0.0,1.92,0.0,0.49,88.0,85.8,0.0,0.0,115.2,0.0,29.4
2020-12-07 00:38:00,1.42,0.0,0.0,1.93,0.0,0.51,88.0,85.2,0.0,0.0,115.8,0.0,30.6
2020-12-07 00:39:00,1.45,0.0,0.0,1.93,0.0,0.48,88.0,87.0,0.0,0.0,115.8,0.0,28.8
2020-12-07 00:40:00,1.45,0.0,0.0,1.93,0.0,0.48,88.0,87.0,0.0,0.0,115.8,0.0,28.8
2020-12-07 00:41:00,1.43,0.0,0.0,1.93,0.0,0.5,88.0,85.8,0.0,0.0,115.8,0.0,30.0
2020-12-07 00:42:00,1.43,0.0,0.0,1.93,0.0,0.5,88.0,85.8,0.0,0.0,115.8,0.0,30.0
