HouseID,Signal,ComparisonScope,SignalAvailable,MatchedFinitePoints,PearsonR,RMSE_W,MAE_W,P99AbsoluteError_W,MaximumAbsoluteError_W,FractionWithin0p5W,RoundingAgreementFraction,ExactEqualityFraction,EquivalentOnMeasuredSlope,EquivalentOnMeasuredIntercept_W,ConsistencyThresholdPearsonR,ConsistencyPass,ConsistencyGateDefinition,ComparisonStatus,PaperPearsonR,PaperClaimReproduced,PaperRoundedOneDecimal,PairingScope
H1,Consumption,finite_release_same_timestamp,True,525083,0.9998922938582318,14.750920330649304,0.2955949191283733,0.20000000000027285,4198.0,0.9988763681170405,0.9988763681170405,0.3576291748161719,1.0001158895029283,0.11525890146896245,0.99,True,PearsonR>0.99 (v1 continuity scope),pass,1.0,False,True,finite released values at identical published timestamps; continuity with v1
H1,Consumption,observed_both_endpoints,True,524475,0.9999999870220347,0.16199834107215158,0.12842976309643023,0.20000000000027285,17.199999999999996,0.9999980933314266,0.9999980933314266,0.3580132513465847,1.0000015031641896,-0.004294353873149248,0.99999,True,PearsonR>=0.99999 and P99AbsoluteError_W<=0.200000001 and FractionWithin0p5W>=0.99999,pass,1.0,True,True,"finite released values at identical timestamps, restricted to W status(t-1)==1 and status(t)==1 on a contiguous minute grid; status is only a released-data observation proxy"
H1,Production,finite_release_same_timestamp,True,525083,0.999491719277027,14.672276256335374,0.18239983568002538,0.20000000000004547,3794.0,0.9997638468584966,0.9997638468584966,0.7092421579064643,1.0005360458036479,-0.00510770683172268,0.99,True,PearsonR>0.99 (v1 continuity scope),pass,1.0,False,True,finite released values at identical published timestamps; continuity with v1
H1,Production,observed_both_endpoints,True,524475,0.9999999724922716,0.10786224007623252,0.058171314171314485,0.20000000000004547,0.20000000000027285,1.0,1.0,0.7091434291434291,1.0000017097671636,-0.0019387469252194478,0.99999,True,PearsonR>=0.99999 and P99AbsoluteError_W<=0.200000001 and FractionWithin0p5W>=0.99999,pass,1.0,True,True,"finite released values at identical timestamps, restricted to W status(t-1)==1 and status(t)==1 on a contiguous minute grid; status is only a released-data observation proxy"
H2,Consumption,finite_release_same_timestamp,True,525694,0.9986263589639447,42.25938957322605,0.7832658032857215,0.20000000000027285,7278.0,0.998887185320738,0.998887185320738,0.34041096150992783,1.0011890717147782,-0.017802875634629345,0.99,True,PearsonR>0.99 (v1 continuity scope),pass,1.0,False,True,finite released values at identical published timestamps; continuity with v1
H2,Consumption,observed_both_endpoints,True,525100,0.9999999796150544,0.16238462936418008,0.13184383926871135,0.20000000000027285,0.2000000000007276,1.0,1.0,0.3407808036564464,0.9999997583678056,0.00036278267532452446,0.99999,True,PearsonR>=0.99999 and P99AbsoluteError_W<=0.200000001 and FractionWithin0p5W>=0.99999,pass,1.0,True,True,"finite released values at identical timestamps, restricted to W status(t-1)==1 and status(t)==1 on a contiguous minute grid; status is only a released-data observation proxy"
H2,Production,finite_release_same_timestamp,True,525694,0.9995642168167844,12.65456006130023,0.19699927013971863,0.20000000000004547,3442.0,0.9996823246983987,0.9996823246983987,0.6816151601502014,1.0005594589669558,0.008831847702850837,0.99,True,PearsonR>0.99 (v1 continuity scope),pass,1.0,False,True,finite released values at identical published timestamps; continuity with v1
H2,Production,observed_both_endpoints,True,525100,0.9999999652957471,0.11285765425431249,0.06368425061893006,0.20000000000004547,0.20000000000027285,1.0,1.0,0.6815787469053514,1.0000031076711882,-0.0029759767125199232,0.99999,True,PearsonR>=0.99999 and P99AbsoluteError_W<=0.200000001 and FractionWithin0p5W>=0.99999,pass,1.0,True,True,"finite released values at identical timestamps, restricted to W status(t-1)==1 and status(t)==1 on a contiguous minute grid; status is only a released-data observation proxy"
H3,Consumption,finite_release_same_timestamp,True,525943,0.9973538519472519,63.4703009045922,1.2627770076068099,0.20000000000027285,9342.0,0.9989257391010052,0.9989257391010052,0.3401452248627703,1.00230822646732,-0.25563702075578476,0.99,True,PearsonR>0.99 (v1 continuity scope),pass,1.0,False,True,finite released values at identical published timestamps; continuity with v1
H3,Consumption,observed_both_endpoints,True,525369,0.9999999824921941,0.16241901017069488,0.13189967432414218,0.20000000000027285,0.2000000000007276,1.0,1.0,0.3405016283792915,1.0000001752546697,-0.00012047782138324692,0.99999,True,PearsonR>=0.99999 and P99AbsoluteError_W<=0.200000001 and FractionWithin0p5W>=0.99999,pass,1.0,True,True,"finite released values at identical timestamps, restricted to W status(t-1)==1 and status(t)==1 on a contiguous minute grid; status is only a released-data observation proxy"
