AlignmentCategory,Signal,CalendarDays,SelectedMapping,MappedComparisonScope,MappedComparisonScopeDescription,PassMinimumFinitePoints,SelectedMatchedFinitePoints,SelectedAggregatePearsonR,SelectedAggregateRMSE_W,SelectedAggregateMAE_W,SelectedAggregateP99AbsoluteError_W,SelectedAggregateRoundingAgreementFraction,SelectedAggregateEquivalentOnMeasuredSlope,SelectedAggregateEquivalentOnMeasuredIntercept_W,SelectedDaysPassR0p99,SameDate0DaysPassR0p99,SameDatePlus60CoreDaysPassR0p99,SameDatePlus60Continuous24hDaysPassR0p99,SameDatePlus60Continuous24hFailureDates,SameDatePlus60Continuous24hMatchedFinitePoints,SameDatePlus60Continuous24hAggregatePearsonR,TransposePlus60CoreDaysPassR0p99,TransposePlus60Continuous24hDaysPassR0p99,BoundaryPolicy
unaffected_same0,Production,146,same_date_0,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,209457,0.999999936729935,0.09564935461105467,0.04574399518755654,0.20000000000004547,1.0,1.00000167270883,-0.001623274030279731,146,146,0,0,2020-01-01;2020-01-09;2020-01-10;2020-01-11;2020-01-12;2020-01-13;2020-01-14;2020-01-15;2020-01-16;2020-01-17;2020-01-18;2020-01-19;2020-01-20;2020-01-21;2020-01-22;2020-01-23;2020-01-24;2020-02-01;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-03-01;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-04-01;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-05-01;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-06-01;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-07-01;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-08-01;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-09-01;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-09;2020-12-10;2020-12-11;2020-12-12;2020-12-13;2020-12-14;2020-12-15;2020-12-16;2020-12-17;2020-12-18;2020-12-19;2020-12-20;2020-12-21;2020-12-22;2020-12-23;2020-12-24;2020-12-25;2020-12-26;2020-12-27;2020-12-28;2020-12-29;2020-12-30;2020-12-31,208728,0.740478679475158,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
unaffected_same0,Consumption,146,same_date_0,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,209457,0.999999992460339,0.16525866538162973,0.13317196369660753,0.20000000000027285,0.9999952257503927,0.9999999613903918,0.0004025316693514469,146,146,0,0,2020-01-01;2020-01-09;2020-01-10;2020-01-11;2020-01-12;2020-01-13;2020-01-14;2020-01-15;2020-01-16;2020-01-17;2020-01-18;2020-01-19;2020-01-20;2020-01-21;2020-01-22;2020-01-23;2020-01-24;2020-02-01;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-03-01;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-04-01;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-05-01;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-06-01;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-07-01;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-08-01;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-09-01;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-09;2020-12-10;2020-12-11;2020-12-12;2020-12-13;2020-12-14;2020-12-15;2020-12-16;2020-12-17;2020-12-18;2020-12-19;2020-12-20;2020-12-21;2020-12-22;2020-12-23;2020-12-24;2020-12-25;2020-12-26;2020-12-27;2020-12-28;2020-12-29;2020-12-30;2020-12-31,208728,0.27702178815009354,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
unassessable_no_finite_W_pairs,Production,1,none,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,0,,,,,,,,0,0,0,0,2020-02-29,0,,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
unassessable_no_finite_W_pairs,Consumption,1,none,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,0,,,,,,,,0,0,0,0,2020-02-29,0,,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
same_date_plus60_core,Production,135,same_date_plus60_core,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,185206,0.9999999697289531,0.11727829308163408,0.06877099014070862,0.20000000000004547,1.0,1.0000014421304522,-0.0008865933568245055,135,0,135,135,,193240,0.9999998949912136,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
same_date_plus60_core,Consumption,135,same_date_plus60_core,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,185206,0.9999999899335689,0.163215531557463,0.13319654870792647,0.20000000000027285,1.0,1.0000003341639272,-0.0005182820667641863,135,0,135,131,2020-05-31;2020-06-30;2020-07-31;2020-08-31,193240,0.9994957531313906,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
actual_transpose_plus60_core,Production,42,transpose_plus60_core,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,57722,0.9999999727874164,0.11718668394493119,0.06866359447004641,0.20000000000004547,1.0,1.0000017112880621,-0.0006050595600299857,42,0,0,0,2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-03-02;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-04-02;2020-04-03;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-05-02;2020-05-03;2020-05-04;2020-05-06;2020-05-07;2020-05-08;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-07;2020-06-08;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-08;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07,60242,0.4910148299329303,42,42,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
actual_transpose_plus60_core,Consumption,42,transpose_plus60_core,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,57722,0.9999999912670022,0.16290560146413774,0.13269117494196356,0.20000000000027285,1.0,1.0000001219852108,-0.0007100921808387284,42,0,0,0,2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-03-02;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-04-02;2020-04-03;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-05-02;2020-05-03;2020-05-04;2020-05-06;2020-05-07;2020-05-08;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-07;2020-06-08;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-08;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07,60242,0.01736421213642629,42,26,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
diagonal_identity_plus60_control,Production,7,transpose_plus60_core,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,9638,0.9999999714456582,0.11441089400283641,0.0654492633326418,0.20000000000004547,1.0,0.9999969779921238,0.0012308335687976069,7,0,7,7,,10058,0.9999990672667693,7,7,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
diagonal_identity_plus60_control,Consumption,7,transpose_plus60_core,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,9638,0.9999999890627348,0.16373924882612126,0.13405270803071248,0.20000000000027285,1.0,1.0000019431355527,-0.0028431841068368158,7,0,7,3,2020-02-02;2020-03-03;2020-05-05;2020-07-07,10058,0.987877612856227,7,3,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
unresolved,Production,35,none,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,0,,,,,,,,0,0,0,0,2020-01-02;2020-01-03;2020-01-04;2020-01-05;2020-01-06;2020-01-07;2020-01-08;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-12-02;2020-12-03;2020-12-04;2020-12-05;2020-12-06;2020-12-07;2020-12-08,50139,0.4352579846200925,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
unresolved,Consumption,35,none,source_and_mapped_target_w_status_both_endpoints,finite mapped W/Wh pairs requiring the released W-status observation proxy at both endpoints on both the source W timestamps and mapped-target Wh timestamps; W status is not proof of Wh ground truth,60,0,,,,,,,,0,0,0,0,2020-01-02;2020-01-03;2020-01-04;2020-01-05;2020-01-06;2020-01-07;2020-01-08;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-12-02;2020-12-03;2020-12-04;2020-12-05;2020-12-06;2020-12-07;2020-12-08,50139,0.03725399975710682,0,0,same_date_0 uses 1440 labels; +60 core uses W 00:00-22:59 and target Wh 01:00-23:59; continuous24h uses all 1440 W labels and crosses the target-day boundary; every mapping requires the W-status both-endpoint proxy on source and mapped-target timestamps
