Direction,OtherHouseID,Signal,ComparisonScope,ScopeStartInclusive,ScopeEndExclusive,WhTimestampOffsetMinutes,MatchedFinitePoints,PearsonR,RMSE_W,MAE_W,P99AbsoluteError_W,MaximumAbsoluteError_W,FractionWithin0p5W,RoundingAgreementFraction,ExactEqualityFraction,EquivalentOnMeasuredSlope,EquivalentOnMeasuredIntercept_W,AbsolutePearsonRBelow0p11,InterpretationLimit
H4_W_vs_other_house_Wh,H1,Consumption,finite_release_same_timestamp,2020-02-01 00:00:00,2020-09-01 00:00:00,0,304802,0.008424524425273233,1615.581743753751,913.9069517977654,5815.8,14372.2,0.0010137728755060663,0.0010137728755060663,0.00033464347346802187,0.007941826898316195,406.32208224270715,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
H4_W_vs_other_house_Wh,H1,Consumption,observed_both_endpoints,2020-02-01 00:00:00,2020-09-01 00:00:00,0,302698,0.00856938771664595,1617.9794728707423,915.6646743619051,5820.8,14372.2,0.0010142121850821612,0.0010142121850821612,0.0003336658980237729,0.008091848480846316,407.23254247830437,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
other_house_W_vs_H4_Wh,H1,Consumption,finite_release_same_timestamp,2020-02-01 00:00:00,2020-09-01 00:00:00,0,305169,0.02856792447231363,1606.3206919680472,906.4926487218872,5767.392000000004,14175.0,0.0010420455550858704,0.0010420455550858704,0.00035717913680616314,0.02996087741998102,771.5971326926764,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
other_house_W_vs_H4_Wh,H1,Consumption,observed_both_endpoints,2020-02-01 00:00:00,2020-09-01 00:00:00,0,302698,0.03073533944072906,1601.7366000889663,905.311836074894,5724.217999999982,14175.0,0.0010505520353619778,0.0010505520353619778,0.0003600948800454578,0.03257878480384427,774.1382784798631,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
H4_W_vs_other_house_Wh,H2,Consumption,finite_release_same_timestamp,2020-02-01 00:00:00,2020-09-01 00:00:00,0,304802,0.03110071923811253,1378.7406451797194,793.7784796633384,4613.991999999993,13720.8,0.0012893616183620843,0.0012893616183620843,0.00042322556938602764,0.020387305413591333,508.0820432397851,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
H4_W_vs_other_house_Wh,H2,Consumption,observed_both_endpoints,2020-02-01 00:00:00,2020-09-01 00:00:00,0,303343,0.03158289731602871,1378.0415482459186,793.9169797885562,4604.0,13720.8,0.0012790801172270333,0.0012790801172270333,0.00042526117299558587,0.0206807194372522,507.9576622946682,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
other_house_W_vs_H4_Wh,H2,Consumption,finite_release_same_timestamp,2020-02-01 00:00:00,2020-09-01 00:00:00,0,305797,0.03772123252250474,1373.2015461799226,790.1863702223364,4585.231999999984,13721.0,0.001363649741495175,0.001363649741495175,0.00043492905424186634,0.05761468218696462,754.0994912503236,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
other_house_W_vs_H4_Wh,H2,Consumption,observed_both_endpoints,2020-02-01 00:00:00,2020-09-01 00:00:00,0,303343,0.03839738451702466,1375.7337499508046,791.8842529893401,4589.2,13721.0,0.0013713848679547576,0.0013713848679547576,0.0004384475659566893,0.058739727410522385,757.1931753273449,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
H4_W_vs_other_house_Wh,H3,Consumption,finite_release_same_timestamp,2020-02-01 00:00:00,2020-09-01 00:00:00,0,304802,0.02727043470840284,1432.918594934421,815.9636722384362,4736.793999999994,13412.0,0.0014173135346880925,0.0014173135346880925,0.0004330680244880283,0.020498208601584487,563.3317985106935,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
H4_W_vs_other_house_Wh,H3,Consumption,observed_both_endpoints,2020-02-01 00:00:00,2020-09-01 00:00:00,0,303618,0.027885831860155426,1430.5128553640347,815.3597698423675,4716.8,13412.0,0.001419546930682634,0.001419546930682634,0.00043475683259885776,0.020833855015010293,561.7287196471622,True,same-timestamp consumption control only; does not exclude every possible cross-house or preprocessing defect
