HouseID,PaperLegacyReproducedConsumptionKWh,Calendar2020ConsumptionKWh,ReleasedRows,ReleaseStartTimestamp,ReleaseEndTimestamp,ReleaseIntervalComplete,PaperAnnualConsumptionKWh,RoundedMatch
H1,3186.8768650000006,3186.6459450000007,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,3186.9,True
H2,4885.312005000001,4884.748095000001,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,4885.3,True
H3,5294.813634999998,5293.871834999998,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,5294.8,True
H4,7875.426460000001,7875.426460000001,526979,2020-01-01 01:01:00,2020-12-31 23:59:00,False,7875.4,True
H5,2449.9372250000006,2449.8643150000003,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,2449.9,True
H6,6261.265274999999,6260.5705149999985,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,6261.3,True
H7,6531.316855,6529.475945,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,6531.3,True
H8,6823.8845649999985,6823.089544999999,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,6823.9,True
H9,3862.542175000001,3862.0360850000006,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,3862.5,True
H10,7986.097910000002,7984.761040000002,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,7986.1,True
H11,6095.93823,6095.21829,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,6095.9,True
H12,2934.6783100000002,2934.56959,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,2934.7,True
H13,2770.0331899999996,2769.1190599999995,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,2770.0,True
H14,5294.417925,5294.417925,498179,2020-01-01 01:01:00,2020-12-11 23:59:00,False,5294.4,True
H15,5856.2500999999975,5855.617049999998,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,5856.3,True
H16,5858.878435,5858.326485,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,5858.9,True
H17,1842.0309749999997,1841.7897649999995,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,1842.0,True
H18,5767.713345000002,5766.461945000002,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,5767.7,True
H19,5091.975494999999,5091.133935,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,5092.0,True
H20,3392.861575,3390.899435,527039,2020-01-01 01:01:00,2021-01-01 00:59:00,True,3392.9,True
