Experiment,Month,Day,Sequence,Strategy,Alpha,RequestedCapKW,EffectiveCapKW,P0KW,PminKW,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,AcceptancePassed,AcceptanceMessage,BaselineBillEUR,OptimizedBillEUR,SavingsEUR,SavingsPercent,BaselinePeakImportKW,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,EnergyBalanceResidualKW,TerminalSocErrorKWh,SimultaneousChargeDischargeKW,ExitFlags,MinimumExitFlag
primary,1,25-Jan-2013,1,SH_BM,NaN,NaN,NaN,71.548,NaN,ok,,,5.629055125,1,,104.242418,63.7937846223834,40.4486333776166,38.8024703893732,71.548,81.9470523961219,30.83001,81.9470523961219,573.922267443773,583.98124188831,196.601808978452,0,3.59601237676088e-13,0,0,1;1,1
primary,1,25-Jan-2013,2,VPP_BM,NaN,NaN,NaN,71.548,NaN,ok,,,15.6629793333333,1,,104.242418,35.8137911628469,68.4286268371531,65.6437447922142,71.548,63.854,7.68792125265261e-05,63.854,393.558101138104,586.10777829178,0,230.407396834196,3.46389583683049e-14,0,0,1;1,1
primary,1,25-Jan-2013,3,IMPROVED_PEAK_GUARD,NaN,71.548,71.548,71.548,NaN,ok,,,17.867875875,1,,104.242418,35.8137911628469,68.4286268371531,65.6437447922142,71.548,63.854,7.6879213233183e-05,63.854,393.558101138103,586.107778291779,0,230.407396834196,1.06581410364015e-14,0,0,1;1,1
primary,2,15-Feb-2013,1,SH_BM,NaN,NaN,NaN,50.958,NaN,ok,,,4.52370720833333,1,,70.680142,37.7902074917074,32.8899345082926,46.5334867441164,50.958,85.5005163019391,1.802,85.5005163019391,408.866254277004,459.72853888906,106.768921360328,0,2.66453525910038e-15,0,0,1;1,1
primary,2,15-Feb-2013,2,VPP_BM,NaN,NaN,NaN,50.958,NaN,ok,,,26.0017900833333,1,,70.680142,28.0008920373776,42.6792499626224,60.383650562873,50.958,50.218,4.9960036108132e-15,50.218,307.702110300853,414.226675088188,0,113.42487782347,9.65894031423886e-15,0,0,1;1,1
primary,2,15-Feb-2013,3,IMPROVED_PEAK_GUARD,NaN,50.958,50.958,50.958,NaN,ok,,,13.7147934583333,1,,70.680142,28.0008920373776,42.6792499626224,60.3836505628729,50.958,50.218,5.88418203051333e-15,50.218,307.702110300853,414.226675088188,0,113.424877823473,2.49938958418738e-14,0,0,1;1,1
primary,3,12-Mar-2013,1,SH_BM,NaN,NaN,NaN,52.926,NaN,ok,,,3.96450370833333,1,,79.323284,40.9628659977127,38.3604180022873,48.3595938895914,52.926,83.7665633518005,5.35196,83.7665633518005,426.904075249591,533.264084180772,157.685207771893,0,1.77635683940025e-15,0,0,1;1,1
primary,3,12-Mar-2013,2,VPP_BM,NaN,NaN,NaN,52.926,NaN,ok,,,24.603172,1,,79.323284,25.5054109904159,53.8178730095841,67.8462492924324,52.926,47.312,5.4678483962789e-15,47.312,280.279241652922,529.785249038558,0,160.555619242793,3.58602036953926e-14,0,0,1;1,1
primary,3,12-Mar-2013,3,IMPROVED_PEAK_GUARD,NaN,52.926,52.926,52.926,NaN,ok,,,17.2177949583333,1,,79.323284,25.5054109904159,53.8178730095841,67.8462492924324,52.926,47.312,7.105427357601e-15,47.3120000000001,280.279241652922,529.785249038558,0,160.555619242794,8.85957973650875e-14,0,0,1;1,1
primary,4,28-Apr-2013,1,SH_BM,NaN,NaN,NaN,58.578,NaN,ok,,,4.50575470833333,1,,87.747783,44.6669730095293,43.0808099904707,49.0961805729847,58.578,88.7365817174515,14.346,88.7365817174515,463.688789527794,606.860317716672,91.0122732239124,0,2.22044604925031e-15,0,0,1;1,1
primary,4,28-Apr-2013,2,VPP_BM,NaN,NaN,NaN,58.578,NaN,ok,,,15.6039758333333,1,,87.747783,34.4893473180202,53.2584356819798,60.6949074508012,58.578,60.364639833795,7.40361113245047e-05,60.364639833795,379.003774781983,580.830669795007,0,109.471291584619,3.99680288865056e-15,0,0,1;1,1
