Customer,LoadName,Bus,Phase,LoadHouse,PVHouse
1,load1,34,1,1,1
2,load2,47,2,2,2
3,load3,70,1,3,3
4,load4,73,1,4,4
5,load5,74,1,5,5
6,load6,83,2,6,6
7,load7,178,2,7,7
8,load8,208,3,8,8
9,load9,225,1,9,9
10,load10,248,2,10,10
11,load11,249,2,11,1
12,load12,264,3,12,2
13,load13,276,2,13,3
14,load14,289,1,14,4
15,load15,314,2,15,5
16,load16,320,3,16,6
17,load17,327,3,17,7
18,load18,337,3,18,8
19,load19,342,3,19,9
20,load20,349,1,20,10
21,load21,387,1,1,1
22,load22,388,1,2,2
23,load23,406,2,3,3
24,load24,458,3,4,4
25,load25,502,1,5,5
26,load26,522,2,6,6
27,load27,539,3,7,7
28,load28,556,3,8,8
29,load29,562,1,9,9
30,load30,563,1,10,10
31,load31,611,1,11,1
32,load32,614,3,12,2
33,load33,619,3,13,3
34,load34,629,1,14,4
35,load35,639,2,15,5
36,load36,676,2,16,6
37,load37,682,2,17,7
38,load38,688,2,18,8
39,load39,701,3,19,9
40,load40,702,2,20,10
41,load41,755,2,1,1
42,load42,778,3,2,2
43,load43,780,3,3,3
44,load44,785,2,4,4
45,load45,813,2,5,5
46,load46,817,1,6,6
47,load47,835,3,7,7
48,load48,860,1,8,8
49,load49,861,1,9,9
50,load50,886,2,10,10
51,load51,896,1,11,1
52,load52,898,1,12,2
53,load53,899,2,13,3
54,load54,900,1,14,4
55,load55,906,1,15,5
