Time,LoadKW,PVKW,FiniteMinutes,AlignedMinutes,Rows,House,Date,ValidHour
2020-01-19 00:00:00,0.46942,0.0,60,60,60,1,2020-01-19,True
2020-01-19 01:00:00,0.46144,0.0,60,60,60,1,2020-01-19,True
2020-01-19 02:00:00,0.49073,0.0,60,60,60,1,2020-01-19,True
2020-01-19 03:00:00,0.465755,0.0,60,60,60,1,2020-01-19,True
2020-01-19 04:00:00,0.4915799999999999,0.0,60,60,60,1,2020-01-19,True
2020-01-19 05:00:00,0.47675,0.0,60,60,60,1,2020-01-19,True
2020-01-19 06:00:00,0.50644,0.0,60,60,60,1,2020-01-19,True
2020-01-19 07:00:00,0.57421,0.0,60,60,60,1,2020-01-19,True
2020-01-19 08:00:00,0.4936999999999999,0.0,60,60,60,1,2020-01-19,True
2020-01-19 09:00:00,0.28878,0.17667,60,60,60,1,2020-01-19,True
2020-01-19 10:00:00,0.65666,0.84115,60,60,60,1,2020-01-19,True
2020-01-19 11:00:00,0.68928,1.1491300000000002,60,60,60,1,2020-01-19,True
2020-01-19 12:00:00,0.28392,1.0897,60,60,60,1,2020-01-19,True
2020-01-19 13:00:00,0.28473,0.6267,60,60,60,1,2020-01-19,True
2020-01-19 14:00:00,0.48845,0.47725,60,60,60,1,2020-01-19,True
2020-01-19 15:00:00,1.09119,0.20423,60,60,60,1,2020-01-19,True
2020-01-19 16:00:00,1.48791,0.02228,60,60,60,1,2020-01-19,True
2020-01-19 17:00:00,0.75142,5e-05,60,60,60,1,2020-01-19,True
2020-01-19 18:00:00,0.29925,0.0,60,60,60,1,2020-01-19,True
2020-01-19 19:00:00,0.02617,0.0,60,60,60,1,2020-01-19,True
2020-01-19 20:00:00,0.05033,0.0,60,60,60,1,2020-01-19,True
2020-01-19 21:00:00,0.04401,0.0,60,60,60,1,2020-01-19,True
2020-01-19 22:00:00,0.02308,0.0,60,60,60,1,2020-01-19,True
2020-01-19 23:00:00,0.048505,0.0,60,60,60,1,2020-01-19,True
2020-06-21 00:00:00,0.01881,0.0,60,60,60,1,2020-06-21,True
2020-06-21 01:00:00,0.06253,0.00015,60,60,60,1,2020-06-21,True
2020-06-21 02:00:00,0.03495,0.0,60,60,60,1,2020-06-21,True
2020-06-21 03:00:00,0.04451,0.0,60,60,60,1,2020-06-21,True
2020-06-21 04:00:00,0.0536899999999999,0.00021,60,60,60,1,2020-06-21,True
2020-06-21 05:00:00,0.02599,5e-05,60,60,60,1,2020-06-21,True
2020-06-21 06:00:00,0.05176,0.03257,60,60,60,1,2020-06-21,True
2020-06-21 07:00:00,0.00284,0.2871499999999999,60,60,60,1,2020-06-21,True
2020-06-21 08:00:00,0.05132,0.77051,60,60,60,1,2020-06-21,True
2020-06-21 09:00:00,0.01028,0.85263,60,60,60,1,2020-06-21,True
2020-06-21 10:00:00,0.05467,1.26439,60,60,60,1,2020-06-21,True
2020-06-21 11:00:00,0.04292,1.84166,60,60,60,1,2020-06-21,True
2020-06-21 12:00:00,0.0277,2.0318799999999997,60,60,60,1,2020-06-21,True
2020-06-21 13:00:00,0.07388,1.83276,60,60,60,1,2020-06-21,True
2020-06-21 14:00:00,0.02667,1.73202,60,60,60,1,2020-06-21,True
2020-06-21 15:00:00,0.06323,1.5239200000000002,60,60,60,1,2020-06-21,True
2020-06-21 16:00:00,0.0248,1.12449,60,60,60,1,2020-06-21,True
2020-06-21 17:00:00,0.0621899999999999,0.69566,60,60,60,1,2020-06-21,True
2020-06-21 18:00:00,0.05274,0.28317,60,60,60,1,2020-06-21,True
2020-06-21 19:00:00,0.03456,0.13947,60,60,60,1,2020-06-21,True
2020-06-21 20:00:00,0.05621,0.05098,60,60,60,1,2020-06-21,True
2020-06-21 21:00:00,0.00661,5.9999999999999995e-05,60,60,60,1,2020-06-21,True
2020-06-21 22:00:00,0.0605799999999999,0.0002399999999999,60,60,60,1,2020-06-21,True
2020-06-21 23:00:00,0.02662,7.000000000000001e-05,60,60,60,1,2020-06-21,True
2020-01-19 00:00:00,0.14336,0.0,60,60,60,2,2020-01-19,True
2020-01-19 01:00:00,0.16539,0.0,60,60,60,2,2020-01-19,True
2020-01-19 02:00:00,0.16926,0.000675,60,60,60,2,2020-01-19,True
2020-01-19 03:00:00,0.16897,0.0,60,60,60,2,2020-01-19,True
2020-01-19 04:00:00,0.12237,0.0,60,60,60,2,2020-01-19,True
2020-01-19 05:00:00,0.14314,0.0,60,60,60,2,2020-01-19,True
2020-01-19 06:00:00,0.12776,0.0,60,60,60,2,2020-01-19,True
2020-01-19 07:00:00,0.1645,0.0001,60,60,60,2,2020-01-19,True
2020-01-19 08:00:00,0.5461800000000001,0.00296,60,60,60,2,2020-01-19,True
2020-01-19 09:00:00,0.8251900000000001,0.26811,60,60,60,2,2020-01-19,True
2020-01-19 10:00:00,0.5889800000000001,0.95118,60,60,60,2,2020-01-19,True
2020-01-19 11:00:00,1.01868,1.22537,60,60,60,2,2020-01-19,True
2020-01-19 12:00:00,0.8841100000000001,0.6834600000000001,60,60,60,2,2020-01-19,True
2020-01-19 13:00:00,1.08467,0.48323,60,60,60,2,2020-01-19,True
2020-01-19 14:00:00,0.9453,0.66411,60,60,60,2,2020-01-19,True
2020-01-19 15:00:00,0.54955,0.34406,60,60,60,2,2020-01-19,True
2020-01-19 16:00:00,0.52976,0.0461,60,60,60,2,2020-01-19,True
2020-01-19 17:00:00,1.80947,0.00257,60,60,60,2,2020-01-19,True
2020-01-19 18:00:00,0.89974,0.00032,60,60,60,2,2020-01-19,True
2020-01-19 19:00:00,0.56435,5e-05,60,60,60,2,2020-01-19,True
2020-01-19 20:00:00,0.6257699999999999,0.00068,60,60,60,2,2020-01-19,True
2020-01-19 21:00:00,0.5430900000000001,0.00117,60,60,60,2,2020-01-19,True
2020-01-19 22:00:00,0.95414,0.00277,60,60,60,2,2020-01-19,True
2020-01-19 23:00:00,0.5540900000000001,0.00175,60,60,60,2,2020-01-19,True
2020-06-21 00:00:00,0.23137,0.0,60,60,60,2,2020-06-21,True
2020-06-21 01:00:00,0.45212,0.0,60,60,60,2,2020-06-21,True
2020-06-21 02:00:00,0.081,0.0,60,60,60,2,2020-06-21,True
2020-06-21 03:00:00,0.1229,0.0,60,60,60,2,2020-06-21,True
2020-06-21 04:00:00,0.07926,0.0,60,60,60,2,2020-06-21,True
2020-06-21 05:00:00,0.19119,0.0,60,60,60,2,2020-06-21,True
2020-06-21 06:00:00,0.46499,0.02724,60,60,60,2,2020-06-21,True
2020-06-21 07:00:00,0.23582,0.1664,60,60,60,2,2020-06-21,True
2020-06-21 08:00:00,0.17638,0.46,60,60,60,2,2020-06-21,True
2020-06-21 09:00:00,0.18383,0.69952,60,60,60,2,2020-06-21,True
2020-06-21 10:00:00,0.99196,1.19374,60,60,60,2,2020-06-21,True
2020-06-21 11:00:00,0.93296,1.70629,60,60,60,2,2020-06-21,True
2020-06-21 12:00:00,0.17612,1.98616,60,60,60,2,2020-06-21,True
2020-06-21 13:00:00,0.15056,1.68554,60,60,60,2,2020-06-21,True
2020-06-21 14:00:00,0.0954,1.97571,60,60,60,2,2020-06-21,True
2020-06-21 15:00:00,0.25489,1.84454,60,60,60,2,2020-06-21,True
2020-06-21 16:00:00,0.14542,0.30188,60,60,60,2,2020-06-21,True
2020-06-21 17:00:00,1.31435,0.8334900000000001,60,60,60,2,2020-06-21,True
2020-06-21 18:00:00,1.44719,0.49601,60,60,60,2,2020-06-21,True
2020-06-21 19:00:00,0.13093,0.2189199999999999,60,60,60,2,2020-06-21,True
2020-06-21 20:00:00,0.30444,0.06262,60,60,60,2,2020-06-21,True
2020-06-21 21:00:00,0.2509,0.00457,60,60,60,2,2020-06-21,True
2020-06-21 22:00:00,0.22047,2.9999999999999997e-05,60,60,60,2,2020-06-21,True
2020-06-21 23:00:00,0.80562,0.00093,60,60,60,2,2020-06-21,True
2020-01-19 00:00:00,0.98003,0.00076,60,60,60,3,2020-01-19,True
2020-01-19 01:00:00,0.46997,0.0,60,60,60,3,2020-01-19,True
2020-01-19 02:00:00,0.280615,0.0001,60,60,60,3,2020-01-19,True
2020-01-19 03:00:00,0.1866399999999999,0.0001199999999999,60,60,60,3,2020-01-19,True
2020-01-19 04:00:00,0.21517,0.0,60,60,60,3,2020-01-19,True
2020-01-19 05:00:00,0.1912299999999999,0.0,60,60,60,3,2020-01-19,True
2020-01-19 06:00:00,1.22307,0.0,60,60,60,3,2020-01-19,True
2020-01-19 07:00:00,3.02445,0.01661,60,60,60,3,2020-01-19,True
2020-01-19 08:00:00,0.7269,0.00839,60,60,60,3,2020-01-19,True
2020-01-19 09:00:00,0.28739,0.338,60,60,60,3,2020-01-19,True
2020-01-19 10:00:00,0.95344,1.08319,60,60,60,3,2020-01-19,True
2020-01-19 11:00:00,0.91697,1.27068,60,60,60,3,2020-01-19,True
2020-01-19 12:00:00,1.27927,0.64807,60,60,60,3,2020-01-19,True
2020-01-19 13:00:00,1.53212,0.38277,60,60,60,3,2020-01-19,True
2020-01-19 14:00:00,0.40512,0.5415800000000001,60,60,60,3,2020-01-19,True
2020-01-19 15:00:00,0.34874,0.24364,60,60,60,3,2020-01-19,True
2020-01-19 16:00:00,0.37981,0.03279,60,60,60,3,2020-01-19,True
2020-01-19 17:00:00,0.43063,0.00017,60,60,60,3,2020-01-19,True
2020-01-19 18:00:00,0.4424,0.00086,60,60,60,3,2020-01-19,True
2020-01-19 19:00:00,0.24653,0.0001699999999999,60,60,60,3,2020-01-19,True
2020-01-19 20:00:00,0.48163,0.00027,60,60,60,3,2020-01-19,True
2020-01-19 21:00:00,0.47059,0.00057,60,60,60,3,2020-01-19,True
2020-01-19 22:00:00,0.52936,0.0008,60,60,60,3,2020-01-19,True
2020-01-19 23:00:00,0.50776,0.00204,60,60,60,3,2020-01-19,True
2020-06-21 00:00:00,0.37448,0.0,60,60,60,3,2020-06-21,True
2020-06-21 01:00:00,0.36562,0.0,60,60,60,3,2020-06-21,True
2020-06-21 02:00:00,0.31211,0.0,60,60,60,3,2020-06-21,True
2020-06-21 03:00:00,0.2196699999999999,0.0,60,60,60,3,2020-06-21,True
2020-06-21 04:00:00,0.22629,0.0,60,60,60,3,2020-06-21,True
2020-06-21 05:00:00,1.87569,0.0,60,60,60,3,2020-06-21,True
2020-06-21 06:00:00,1.91908,0.02565,60,60,60,3,2020-06-21,True
2020-06-21 07:00:00,0.34912,0.27268,60,60,60,3,2020-06-21,True
2020-06-21 08:00:00,0.26948,0.73981,60,60,60,3,2020-06-21,True
2020-06-21 09:00:00,0.94791,0.84565,60,60,60,3,2020-06-21,True
2020-06-21 10:00:00,0.79073,1.37275,60,60,60,3,2020-06-21,True
2020-06-21 11:00:00,0.29659,1.91747,60,60,60,3,2020-06-21,True
2020-06-21 12:00:00,1.07859,1.99725,60,60,60,3,2020-06-21,True
2020-06-21 13:00:00,0.4761499999999999,1.63625,60,60,60,3,2020-06-21,True
2020-06-21 14:00:00,0.40191,1.72143,60,60,60,3,2020-06-21,True
2020-06-21 15:00:00,0.3109599999999999,1.48268,60,60,60,3,2020-06-21,True
2020-06-21 16:00:00,0.38056,1.04825,60,60,60,3,2020-06-21,True
2020-06-21 17:00:00,0.29366,0.54511,60,60,60,3,2020-06-21,True
2020-06-21 18:00:00,0.22802,0.25342,60,60,60,3,2020-06-21,True
2020-06-21 19:00:00,0.20393,0.12956,60,60,60,3,2020-06-21,True
2020-06-21 20:00:00,0.18505,0.05353,60,60,60,3,2020-06-21,True
2020-06-21 21:00:00,0.17622,0.00222,60,60,60,3,2020-06-21,True
2020-06-21 22:00:00,1.2036,0.00607,60,60,60,3,2020-06-21,True
2020-06-21 23:00:00,0.968915,0.00437,60,60,60,3,2020-06-21,True
2020-01-19 00:00:00,1.18451,0.0,60,60,60,4,2020-01-19,True
2020-01-19 01:00:00,1.19836,0.0,60,60,60,4,2020-01-19,True
2020-01-19 02:00:00,1.21503,0.0,60,60,60,4,2020-01-19,True
2020-01-19 03:00:00,1.16099,0.0,60,60,60,4,2020-01-19,True
2020-01-19 04:00:00,1.13746,0.0,60,60,60,4,2020-01-19,True
2020-01-19 05:00:00,1.06387,0.0,60,60,60,4,2020-01-19,True
2020-01-19 06:00:00,1.17881,0.0,60,60,60,4,2020-01-19,True
2020-01-19 07:00:00,1.43007,0.0,60,60,60,4,2020-01-19,True
2020-01-19 08:00:00,1.3461500000000002,0.0,60,60,60,4,2020-01-19,True
2020-01-19 09:00:00,1.21107,0.00184,60,60,60,4,2020-01-19,True
2020-01-19 10:00:00,0.36585,0.09639,60,60,60,4,2020-01-19,True
2020-01-19 11:00:00,1.6826,0.13024,60,60,60,4,2020-01-19,True
2020-01-19 12:00:00,0.33193,0.2433199999999999,60,60,60,4,2020-01-19,True
2020-01-19 13:00:00,4.01096,0.28002,60,60,60,4,2020-01-19,True
2020-01-19 14:00:00,1.67902,0.59849,60,60,60,4,2020-01-19,True
2020-01-19 15:00:00,1.81535,0.32864,60,60,60,4,2020-01-19,True
2020-01-19 16:00:00,0.71386,0.02673,60,60,60,4,2020-01-19,True
2020-01-19 17:00:00,2.98338,0.0,60,60,60,4,2020-01-19,True
2020-01-19 18:00:00,2.85994,0.0,60,60,60,4,2020-01-19,True
2020-01-19 19:00:00,3.61312,0.0,60,60,60,4,2020-01-19,True
2020-01-19 20:00:00,2.27217,0.0,60,60,60,4,2020-01-19,True
2020-01-19 21:00:00,2.7205700000000004,0.0,60,60,60,4,2020-01-19,True
2020-01-19 22:00:00,1.4928800000000002,0.0,60,60,60,4,2020-01-19,True
2020-01-19 23:00:00,1.297,0.0,60,60,60,4,2020-01-19,True
2020-06-21 00:00:00,0.2386899999999999,0.0,60,60,60,4,2020-06-21,True
2020-06-21 01:00:00,0.1624499999999999,0.0,60,60,60,4,2020-06-21,True
2020-06-21 02:00:00,0.206495,0.0,60,60,60,4,2020-06-21,True
2020-06-21 03:00:00,0.24317,0.0,60,60,60,4,2020-06-21,True
2020-06-21 04:00:00,0.18831,0.0,60,60,60,4,2020-06-21,True
2020-06-21 05:00:00,0.13185,0.0,60,60,60,4,2020-06-21,True
2020-06-21 06:00:00,0.13459,0.00233,60,60,60,4,2020-06-21,True
2020-06-21 07:00:00,0.3729599999999999,0.03468,60,60,60,4,2020-06-21,True
2020-06-21 08:00:00,2.8394700000000004,0.04433,60,60,60,4,2020-06-21,True
2020-06-21 09:00:00,1.81924,0.22808,60,60,60,4,2020-06-21,True
2020-06-21 10:00:00,1.94167,0.6163200000000001,60,60,60,4,2020-06-21,True
2020-06-21 11:00:00,0.69151,1.00342,60,60,60,4,2020-06-21,True
2020-06-21 12:00:00,1.22012,0.3937,60,60,60,4,2020-06-21,True
2020-06-21 13:00:00,1.7625,1.12049,60,60,60,4,2020-06-21,True
2020-06-21 14:00:00,1.21959,1.3656700000000002,60,60,60,4,2020-06-21,True
2020-06-21 15:00:00,0.2186,1.37696,60,60,60,4,2020-06-21,True
2020-06-21 16:00:00,0.21267,0.96604,60,60,60,4,2020-06-21,True
2020-06-21 17:00:00,0.24046,0.65377,60,60,60,4,2020-06-21,True
2020-06-21 18:00:00,0.22521,1.20528,60,60,60,4,2020-06-21,True
2020-06-21 19:00:00,0.34048,0.52259,60,60,60,4,2020-06-21,True
2020-06-21 20:00:00,1.86467,0.17131,60,60,60,4,2020-06-21,True
2020-06-21 21:00:00,0.39105,0.0158,60,60,60,4,2020-06-21,True
2020-06-21 22:00:00,0.32179,0.0,60,60,60,4,2020-06-21,True
2020-06-21 23:00:00,0.43036,0.0,60,60,60,4,2020-06-21,True
2020-01-19 00:00:00,0.08516,0.0,60,60,60,5,2020-01-19,True
2020-01-19 01:00:00,0.0879699999999999,0.0095,60,60,60,5,2020-01-19,True
2020-01-19 02:00:00,0.08989,0.00068,60,60,60,5,2020-01-19,True
2020-01-19 03:00:00,0.09126,0.0,60,60,60,5,2020-01-19,True
2020-01-19 04:00:00,0.09315,0.0,60,60,60,5,2020-01-19,True
2020-01-19 05:00:00,0.087,0.0,60,60,60,5,2020-01-19,True
2020-01-19 06:00:00,0.1167899999999999,0.0,60,60,60,5,2020-01-19,True
2020-01-19 07:00:00,0.2747699999999999,0.00908,60,60,60,5,2020-01-19,True
2020-01-19 08:00:00,0.151,0.00329,60,60,60,5,2020-01-19,True
2020-01-19 09:00:00,0.70074,0.04204,60,60,60,5,2020-01-19,True
2020-01-19 10:00:00,1.0045,0.3560299999999999,60,60,60,5,2020-01-19,True
2020-01-19 11:00:00,0.23813,0.77844,60,60,60,5,2020-01-19,True
2020-01-19 12:00:00,0.12538,0.92783,60,60,60,5,2020-01-19,True
2020-01-19 13:00:00,0.41738,0.8177000000000001,60,60,60,5,2020-01-19,True
2020-01-19 14:00:00,0.20943,0.7797799999999999,60,60,60,5,2020-01-19,True
2020-01-19 15:00:00,0.14093,0.34345,60,60,60,5,2020-01-19,True
2020-01-19 16:00:00,0.31504,0.0493,60,60,60,5,2020-01-19,True
2020-01-19 17:00:00,0.4826,0.01016,60,60,60,5,2020-01-19,True
2020-01-19 18:00:00,0.7570800000000001,0.01251,60,60,60,5,2020-01-19,True
2020-01-19 19:00:00,0.36651,0.0081199999999999,60,60,60,5,2020-01-19,True
2020-01-19 20:00:00,0.38424,0.0089,60,60,60,5,2020-01-19,True
2020-01-19 21:00:00,0.28185,0.00771,60,60,60,5,2020-01-19,True
2020-01-19 22:00:00,0.15613,0.00569,60,60,60,5,2020-01-19,True
2020-01-19 23:00:00,0.0940699999999999,0.0002,60,60,60,5,2020-01-19,True
2020-06-21 00:00:00,0.1601,0.00405,60,60,60,5,2020-06-21,True
2020-06-21 01:00:00,0.14978,0.00323,60,60,60,5,2020-06-21,True
2020-06-21 02:00:00,0.14334,0.00333,60,60,60,5,2020-06-21,True
2020-06-21 03:00:00,0.1670499999999999,0.0038399999999999,60,60,60,5,2020-06-21,True
2020-06-21 04:00:00,0.14428,0.00441,60,60,60,5,2020-06-21,True
2020-06-21 05:00:00,0.15959,0.00332,60,60,60,5,2020-06-21,True
2020-06-21 06:00:00,0.14374,0.03791,60,60,60,5,2020-06-21,True
2020-06-21 07:00:00,0.13305,0.13678,60,60,60,5,2020-06-21,True
2020-06-21 08:00:00,0.15697,0.2492899999999999,60,60,60,5,2020-06-21,True
2020-06-21 09:00:00,0.44174,0.5681499999999999,60,60,60,5,2020-06-21,True
2020-06-21 10:00:00,0.60191,0.89997,60,60,60,5,2020-06-21,True
2020-06-21 11:00:00,0.21349,1.3688399999999998,60,60,60,5,2020-06-21,True
2020-06-21 12:00:00,0.19777,1.70667,60,60,60,5,2020-06-21,True
2020-06-21 13:00:00,0.3400899999999999,1.75228,60,60,60,5,2020-06-21,True
2020-06-21 14:00:00,0.28446,1.91584,60,60,60,5,2020-06-21,True
2020-06-21 15:00:00,0.27579,1.44584,60,60,60,5,2020-06-21,True
2020-06-21 16:00:00,1.93345,1.81684,60,60,60,5,2020-06-21,True
2020-06-21 17:00:00,0.74295,0.89634,60,60,60,5,2020-06-21,True
2020-06-21 18:00:00,0.32366,0.38067,60,60,60,5,2020-06-21,True
2020-06-21 19:00:00,0.38106,0.32997,60,60,60,5,2020-06-21,True
2020-06-21 20:00:00,0.3085299999999999,0.09026,60,60,60,5,2020-06-21,True
2020-06-21 21:00:00,0.29629,0.0197,60,60,60,5,2020-06-21,True
2020-06-21 22:00:00,0.35666,0.00867,60,60,60,5,2020-06-21,True
2020-06-21 23:00:00,0.30441,0.00708,60,60,60,5,2020-06-21,True
2020-01-19 00:00:00,0.66602,0.0,60,60,60,6,2020-01-19,True
2020-01-19 01:00:00,0.41813,0.0,60,60,60,6,2020-01-19,True
2020-01-19 02:00:00,0.22774,0.0,60,60,60,6,2020-01-19,True
2020-01-19 03:00:00,0.02234,0.0,60,60,60,6,2020-01-19,True
2020-01-19 04:00:00,0.32393,0.0,60,60,60,6,2020-01-19,True
2020-01-19 05:00:00,0.2822099999999999,0.0,60,60,60,6,2020-01-19,True
2020-01-19 06:00:00,0.46588,0.0,60,60,60,6,2020-01-19,True
2020-01-19 07:00:00,0.34985,0.0,60,60,60,6,2020-01-19,True
2020-01-19 08:00:00,0.3645199999999999,0.0,60,60,60,6,2020-01-19,True
2020-01-19 09:00:00,0.26962,0.0,60,60,60,6,2020-01-19,True
2020-01-19 10:00:00,0.45912,0.0,60,60,60,6,2020-01-19,True
2020-01-19 11:00:00,1.1905599999999998,0.0,60,60,60,6,2020-01-19,True
2020-01-19 12:00:00,0.6497200000000001,0.0,60,60,60,6,2020-01-19,True
2020-01-19 13:00:00,0.52052,0.0,60,60,60,6,2020-01-19,True
2020-01-19 14:00:00,0.3825,0.0,60,60,60,6,2020-01-19,True
2020-01-19 15:00:00,0.5251699999999999,0.0,60,60,60,6,2020-01-19,True
2020-01-19 16:00:00,1.15578,0.0,60,60,60,6,2020-01-19,True
2020-01-19 17:00:00,1.21294,0.0,60,60,60,6,2020-01-19,True
2020-01-19 18:00:00,0.60414,0.0,60,60,60,6,2020-01-19,True
2020-01-19 19:00:00,0.7699900000000001,0.0,60,60,60,6,2020-01-19,True
2020-01-19 20:00:00,0.35197,0.0,60,60,60,6,2020-01-19,True
2020-01-19 21:00:00,0.57409,0.0,60,60,60,6,2020-01-19,True
2020-01-19 22:00:00,1.21623,0.0,60,60,60,6,2020-01-19,True
2020-01-19 23:00:00,1.18616,0.0,60,60,60,6,2020-01-19,True
2020-06-21 00:00:00,0.48084,0.0,60,60,60,6,2020-06-21,True
2020-06-21 01:00:00,0.23263,0.0,60,60,60,6,2020-06-21,True
2020-06-21 02:00:00,0.37833,0.0,60,60,60,6,2020-06-21,True
2020-06-21 03:00:00,0.19665,0.0,60,60,60,6,2020-06-21,True
2020-06-21 04:00:00,0.320015,0.0,60,60,60,6,2020-06-21,True
2020-06-21 05:00:00,0.10392,0.0,60,60,60,6,2020-06-21,True
2020-06-21 06:00:00,0.17467,0.0,60,60,60,6,2020-06-21,True
2020-06-21 07:00:00,0.01582,0.0,60,60,60,6,2020-06-21,True
2020-06-21 08:00:00,0.29467,0.0,60,60,60,6,2020-06-21,True
2020-06-21 09:00:00,0.82265,0.0,60,60,60,6,2020-06-21,True
2020-06-21 10:00:00,2.06031,0.0,60,60,60,6,2020-06-21,True
2020-06-21 11:00:00,2.48479,0.0,60,60,60,6,2020-06-21,True
2020-06-21 12:00:00,1.58424,0.0,60,60,60,6,2020-06-21,True
2020-06-21 13:00:00,0.49669,0.0,60,60,60,6,2020-06-21,True
2020-06-21 14:00:00,0.2957599999999999,0.0,60,60,60,6,2020-06-21,True
2020-06-21 15:00:00,0.5830599999999999,0.0,60,60,60,6,2020-06-21,True
2020-06-21 16:00:00,0.4652099999999999,0.0,60,60,60,6,2020-06-21,True
2020-06-21 17:00:00,3.32113,0.0,60,60,60,6,2020-06-21,True
2020-06-21 18:00:00,0.5420499999999999,0.0,60,60,60,6,2020-06-21,True
2020-06-21 19:00:00,0.97605,0.0,60,60,60,6,2020-06-21,True
2020-06-21 20:00:00,0.75218,0.0,60,60,60,6,2020-06-21,True
2020-06-21 21:00:00,0.74202,0.0,60,60,60,6,2020-06-21,True
2020-06-21 22:00:00,0.60978,0.0,60,60,60,6,2020-06-21,True
2020-06-21 23:00:00,0.38776,0.0,60,60,60,6,2020-06-21,True
2020-01-19 00:00:00,0.77193,0.0,60,60,60,7,2020-01-19,True
2020-01-19 01:00:00,2.98465,0.0,60,60,60,7,2020-01-19,True
2020-01-19 02:00:00,3.23071,0.0,60,60,60,7,2020-01-19,True
2020-01-19 03:00:00,3.109,0.0,60,60,60,7,2020-01-19,True
2020-01-19 04:00:00,0.5422100000000001,0.0,60,60,60,7,2020-01-19,True
2020-01-19 05:00:00,0.2604599999999999,0.0,60,60,60,7,2020-01-19,True
2020-01-19 06:00:00,0.30487,0.0,60,60,60,7,2020-01-19,True
2020-01-19 07:00:00,0.15852,0.0,60,60,60,7,2020-01-19,True
2020-01-19 08:00:00,0.77708,0.00093,60,60,60,7,2020-01-19,True
2020-01-19 09:00:00,1.68424,0.1592599999999999,60,60,60,7,2020-01-19,True
2020-01-19 10:00:00,0.64807,0.7052200000000001,60,60,60,7,2020-01-19,True
2020-01-19 11:00:00,0.34292,0.90462,60,60,60,7,2020-01-19,True
2020-01-19 12:00:00,1.9318,0.7765299999999999,60,60,60,7,2020-01-19,True
2020-01-19 13:00:00,3.0449499999999996,0.39076,60,60,60,7,2020-01-19,True
2020-01-19 14:00:00,1.84696,0.24671,60,60,60,7,2020-01-19,True
2020-01-19 15:00:00,5.574019999999999,0.13227,60,60,60,7,2020-01-19,True
2020-01-19 16:00:00,4.6636999999999995,0.0343,60,60,60,7,2020-01-19,True
2020-01-19 17:00:00,2.98061,0.0,60,60,60,7,2020-01-19,True
2020-01-19 18:00:00,3.89543,0.0,60,60,60,7,2020-01-19,True
2020-01-19 19:00:00,4.029780000000001,0.0,60,60,60,7,2020-01-19,True
2020-01-19 20:00:00,2.78634,0.0,60,60,60,7,2020-01-19,True
2020-01-19 21:00:00,2.9932399999999997,0.0,60,60,60,7,2020-01-19,True
2020-01-19 22:00:00,3.40842,0.0,60,60,60,7,2020-01-19,True
2020-01-19 23:00:00,2.93496,0.0,60,60,60,7,2020-01-19,True
2020-06-21 00:00:00,0.76036,0.0,60,60,60,7,2020-06-21,True
2020-06-21 01:00:00,0.65667,0.0,60,60,60,7,2020-06-21,True
