Season,Date,Case,Hour,Customer,LoadKW,PVKW,ChargeKW,DischargeKW,StartEnergyKWh,EndEnergyKWh,NetImportKW,BuyEURPerKWh
winter,2020-01-19,POOL_FLAT,0,1,0.46942,0.0,0.0,0.0,2.0,2.0,0.46942,0.2007
winter,2020-01-19,POOL_FLAT,0,2,0.14336,0.0,0.0,0.0,2.0,2.0,0.14336,0.2007
winter,2020-01-19,POOL_FLAT,0,3,0.98003,0.00076,0.0,0.0,2.0,2.0,0.97927,0.2007
winter,2020-01-19,POOL_FLAT,0,4,1.18451,0.0,0.0,0.0,2.0,2.0,1.18451,0.2007
winter,2020-01-19,POOL_FLAT,0,5,0.08516,0.0,0.0,0.0,2.0,2.0,0.08516,0.2007
winter,2020-01-19,POOL_FLAT,0,6,0.66602,0.0,0.0,0.0,2.0,2.0,0.66602,0.2007
winter,2020-01-19,POOL_FLAT,0,7,0.77193,0.0,0.0,0.0,2.0,2.0,0.77193,0.2007
winter,2020-01-19,POOL_FLAT,0,8,0.3435899999999999,0.0,0.0,0.0,2.0,2.0,0.3435899999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,9,0.59529,0.0,0.0,0.0,2.0,2.0,0.59529,0.2007
winter,2020-01-19,POOL_FLAT,0,10,0.88743,0.0,0.0,0.0,2.0,2.0,0.88743,0.2007
winter,2020-01-19,POOL_FLAT,0,11,0.76248,0.0,0.0,0.0,2.0,2.0,0.76248,0.2007
winter,2020-01-19,POOL_FLAT,0,12,0.2718399999999999,0.0,0.0,0.0,2.0,2.0,0.2718399999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,13,0.19238,0.00076,0.0,0.0,2.0,2.0,0.19161999999999998,0.2007
winter,2020-01-19,POOL_FLAT,0,14,0.38896,0.0,0.0,0.0,2.0,2.0,0.38896,0.2007
winter,2020-01-19,POOL_FLAT,0,15,0.8579199999999999,0.0,0.0,0.0,2.0,2.0,0.8579199999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,16,0.41683,0.0,0.0,0.0,2.0,2.0,0.41683,0.2007
winter,2020-01-19,POOL_FLAT,0,17,0.05145,0.0,0.0,0.0,2.0,2.0,0.05145,0.2007
winter,2020-01-19,POOL_FLAT,0,18,0.38722,0.0,0.0,0.0,2.0,2.0,0.38722,0.2007
winter,2020-01-19,POOL_FLAT,0,19,0.73333,0.0,0.0,0.0,2.0,2.0,0.73333,0.2007
winter,2020-01-19,POOL_FLAT,0,20,0.23467,0.0,0.0,0.0,2.0,2.0,0.23467,0.2007
winter,2020-01-19,POOL_FLAT,0,21,0.46942,0.0,0.0,0.0,2.0,2.0,0.46942,0.2007
winter,2020-01-19,POOL_FLAT,0,22,0.14336,0.0,0.0,0.0,2.0,2.0,0.14336,0.2007
winter,2020-01-19,POOL_FLAT,0,23,0.98003,0.00076,0.0,0.0,2.0,2.0,0.97927,0.2007
winter,2020-01-19,POOL_FLAT,0,24,1.18451,0.0,0.0,0.0,2.0,2.0,1.18451,0.2007
winter,2020-01-19,POOL_FLAT,0,25,0.08516,0.0,0.0,0.0,2.0,2.0,0.08516,0.2007
winter,2020-01-19,POOL_FLAT,0,26,0.66602,0.0,0.0,0.0,2.0,2.0,0.66602,0.2007
winter,2020-01-19,POOL_FLAT,0,27,0.77193,0.0,0.0,0.0,2.0,2.0,0.77193,0.2007
winter,2020-01-19,POOL_FLAT,0,28,0.3435899999999999,0.0,0.0,0.0,2.0,2.0,0.3435899999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,29,0.59529,0.0,0.0,0.0,2.0,2.0,0.59529,0.2007
winter,2020-01-19,POOL_FLAT,0,30,0.88743,0.0,0.0,0.0,2.0,2.0,0.88743,0.2007
winter,2020-01-19,POOL_FLAT,0,31,0.76248,0.0,0.0,0.0,2.0,2.0,0.76248,0.2007
winter,2020-01-19,POOL_FLAT,0,32,0.2718399999999999,0.0,0.0,0.0,2.0,2.0,0.2718399999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,33,0.19238,0.00076,0.0,0.0,2.0,2.0,0.19161999999999998,0.2007
winter,2020-01-19,POOL_FLAT,0,34,0.38896,0.0,0.0,0.0,2.0,2.0,0.38896,0.2007
winter,2020-01-19,POOL_FLAT,0,35,0.8579199999999999,0.0,0.0,0.0,2.0,2.0,0.8579199999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,36,0.41683,0.0,0.0,0.0,2.0,2.0,0.41683,0.2007
winter,2020-01-19,POOL_FLAT,0,37,0.05145,0.0,0.0,0.0,2.0,2.0,0.05145,0.2007
winter,2020-01-19,POOL_FLAT,0,38,0.38722,0.0,0.0,0.0,2.0,2.0,0.38722,0.2007
winter,2020-01-19,POOL_FLAT,0,39,0.73333,0.0,0.0,0.0,2.0,2.0,0.73333,0.2007
winter,2020-01-19,POOL_FLAT,0,40,0.23467,0.0,0.0,0.0,2.0,2.0,0.23467,0.2007
winter,2020-01-19,POOL_FLAT,0,41,0.46942,0.0,0.0,0.0,2.0,2.0,0.46942,0.2007
winter,2020-01-19,POOL_FLAT,0,42,0.14336,0.0,0.0,0.0,2.0,2.0,0.14336,0.2007
winter,2020-01-19,POOL_FLAT,0,43,0.98003,0.00076,0.0,0.0,2.0,2.0,0.97927,0.2007
winter,2020-01-19,POOL_FLAT,0,44,1.18451,0.0,0.0,0.0,2.0,2.0,1.18451,0.2007
winter,2020-01-19,POOL_FLAT,0,45,0.08516,0.0,0.0,0.0,2.0,2.0,0.08516,0.2007
winter,2020-01-19,POOL_FLAT,0,46,0.66602,0.0,0.0,0.0,2.0,2.0,0.66602,0.2007
winter,2020-01-19,POOL_FLAT,0,47,0.77193,0.0,0.0,0.0,2.0,2.0,0.77193,0.2007
winter,2020-01-19,POOL_FLAT,0,48,0.3435899999999999,0.0,0.0,0.0,2.0,2.0,0.3435899999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,49,0.59529,0.0,0.0,0.0,2.0,2.0,0.59529,0.2007
winter,2020-01-19,POOL_FLAT,0,50,0.88743,0.0,0.0,0.0,2.0,2.0,0.88743,0.2007
winter,2020-01-19,POOL_FLAT,0,51,0.76248,0.0,0.0,0.0,2.0,2.0,0.76248,0.2007
winter,2020-01-19,POOL_FLAT,0,52,0.2718399999999999,0.0,0.0,0.0,2.0,2.0,0.2718399999999999,0.2007
winter,2020-01-19,POOL_FLAT,0,53,0.19238,0.00076,0.0,0.0,2.0,2.0,0.19161999999999998,0.2007
winter,2020-01-19,POOL_FLAT,0,54,0.38896,0.0,0.0,0.0,2.0,2.0,0.38896,0.2007
winter,2020-01-19,POOL_FLAT,0,55,0.8579199999999999,0.0,0.0,0.0,2.0,2.0,0.8579199999999999,0.2007
winter,2020-01-19,POOL_FLAT,1,1,0.46144,0.0,0.0,0.0,2.0,2.0,0.46144,0.2007
winter,2020-01-19,POOL_FLAT,1,2,0.16539,0.0,0.0,0.0,2.0,2.0,0.16539,0.2007
winter,2020-01-19,POOL_FLAT,1,3,0.46997,0.0,0.0,0.0,2.0,2.0,0.46997,0.2007
winter,2020-01-19,POOL_FLAT,1,4,1.19836,0.0,0.0,0.0,2.0,2.0,1.19836,0.2007
winter,2020-01-19,POOL_FLAT,1,5,0.0879699999999999,0.0095,0.0,0.0,2.0,2.0,0.0784699999999999,0.2007
winter,2020-01-19,POOL_FLAT,1,6,0.41813,0.0,0.0,0.0,2.0,2.0,0.41813,0.2007
winter,2020-01-19,POOL_FLAT,1,7,2.98465,0.0,0.0,0.0,2.0,2.0,2.98465,0.2007
winter,2020-01-19,POOL_FLAT,1,8,3.15676,0.0,0.0,0.0,2.0,2.0,3.15676,0.2007
winter,2020-01-19,POOL_FLAT,1,9,0.26427,0.0,0.0,0.0,2.0,2.0,0.26427,0.2007
winter,2020-01-19,POOL_FLAT,1,10,2.8178400000000003,0.0,0.0,0.0,2.0,2.0,2.8178400000000003,0.2007
winter,2020-01-19,POOL_FLAT,1,11,0.28,0.0,0.0,0.0,2.0,2.0,0.28,0.2007
winter,2020-01-19,POOL_FLAT,1,12,0.13388,0.0,0.0,0.0,2.0,2.0,0.13388,0.2007
winter,2020-01-19,POOL_FLAT,1,13,0.18568,0.0,0.0,0.0,2.0,2.0,0.18568,0.2007
winter,2020-01-19,POOL_FLAT,1,14,0.23972,0.0,0.0,0.0,2.0,2.0,0.23972,0.2007
winter,2020-01-19,POOL_FLAT,1,15,0.45122,0.0095,0.0,0.0,2.0,2.0,0.44172,0.2007
winter,2020-01-19,POOL_FLAT,1,16,0.36337,0.0,0.0,0.0,2.0,2.0,0.36337,0.2007
winter,2020-01-19,POOL_FLAT,1,17,0.06622,0.0,0.0,0.0,2.0,2.0,0.06622,0.2007
winter,2020-01-19,POOL_FLAT,1,18,0.35807,0.0,0.0,0.0,2.0,2.0,0.35807,0.2007
winter,2020-01-19,POOL_FLAT,1,19,0.3718,0.0,0.0,0.0,2.0,2.0,0.3718,0.2007
winter,2020-01-19,POOL_FLAT,1,20,0.21303,0.0,0.0,0.0,2.0,2.0,0.21303,0.2007
winter,2020-01-19,POOL_FLAT,1,21,0.46144,0.0,0.0,0.0,2.0,2.0,0.46144,0.2007
winter,2020-01-19,POOL_FLAT,1,22,0.16539,0.0,0.0,0.0,2.0,2.0,0.16539,0.2007
winter,2020-01-19,POOL_FLAT,1,23,0.46997,0.0,0.0,0.0,2.0,2.0,0.46997,0.2007
winter,2020-01-19,POOL_FLAT,1,24,1.19836,0.0,0.0,0.0,2.0,2.0,1.19836,0.2007
winter,2020-01-19,POOL_FLAT,1,25,0.0879699999999999,0.0095,0.0,0.0,2.0,2.0,0.0784699999999999,0.2007
winter,2020-01-19,POOL_FLAT,1,26,0.41813,0.0,0.0,0.0,2.0,2.0,0.41813,0.2007
winter,2020-01-19,POOL_FLAT,1,27,2.98465,0.0,0.0,0.0,2.0,2.0,2.98465,0.2007
winter,2020-01-19,POOL_FLAT,1,28,3.15676,0.0,0.0,0.0,2.0,2.0,3.15676,0.2007
winter,2020-01-19,POOL_FLAT,1,29,0.26427,0.0,0.0,0.0,2.0,2.0,0.26427,0.2007
winter,2020-01-19,POOL_FLAT,1,30,2.8178400000000003,0.0,0.0,0.0,2.0,2.0,2.8178400000000003,0.2007
winter,2020-01-19,POOL_FLAT,1,31,0.28,0.0,0.0,0.0,2.0,2.0,0.28,0.2007
winter,2020-01-19,POOL_FLAT,1,32,0.13388,0.0,0.0,0.0,2.0,2.0,0.13388,0.2007
winter,2020-01-19,POOL_FLAT,1,33,0.18568,0.0,0.0,0.0,2.0,2.0,0.18568,0.2007
winter,2020-01-19,POOL_FLAT,1,34,0.23972,0.0,0.0,0.0,2.0,2.0,0.23972,0.2007
winter,2020-01-19,POOL_FLAT,1,35,0.45122,0.0095,0.0,0.0,2.0,2.0,0.44172,0.2007
winter,2020-01-19,POOL_FLAT,1,36,0.36337,0.0,0.0,0.0,2.0,2.0,0.36337,0.2007
winter,2020-01-19,POOL_FLAT,1,37,0.06622,0.0,0.0,0.0,2.0,2.0,0.06622,0.2007
winter,2020-01-19,POOL_FLAT,1,38,0.35807,0.0,0.0,0.0,2.0,2.0,0.35807,0.2007
winter,2020-01-19,POOL_FLAT,1,39,0.3718,0.0,0.0,0.0,2.0,2.0,0.3718,0.2007
winter,2020-01-19,POOL_FLAT,1,40,0.21303,0.0,0.0,0.0,2.0,2.0,0.21303,0.2007
winter,2020-01-19,POOL_FLAT,1,41,0.46144,0.0,0.0,0.0,2.0,2.0,0.46144,0.2007
winter,2020-01-19,POOL_FLAT,1,42,0.16539,0.0,0.0,0.0,2.0,2.0,0.16539,0.2007
winter,2020-01-19,POOL_FLAT,1,43,0.46997,0.0,0.0,0.0,2.0,2.0,0.46997,0.2007
winter,2020-01-19,POOL_FLAT,1,44,1.19836,0.0,0.0,0.0,2.0,2.0,1.19836,0.2007
winter,2020-01-19,POOL_FLAT,1,45,0.0879699999999999,0.0095,0.0,0.0,2.0,2.0,0.0784699999999999,0.2007
winter,2020-01-19,POOL_FLAT,1,46,0.41813,0.0,0.0,0.0,2.0,2.0,0.41813,0.2007
winter,2020-01-19,POOL_FLAT,1,47,2.98465,0.0,0.0,0.0,2.0,2.0,2.98465,0.2007
winter,2020-01-19,POOL_FLAT,1,48,3.15676,0.0,0.0,0.0,2.0,2.0,3.15676,0.2007
winter,2020-01-19,POOL_FLAT,1,49,0.26427,0.0,0.0,0.0,2.0,2.0,0.26427,0.2007
winter,2020-01-19,POOL_FLAT,1,50,2.8178400000000003,0.0,0.0,0.0,2.0,2.0,2.8178400000000003,0.2007
winter,2020-01-19,POOL_FLAT,1,51,0.28,0.0,0.0,0.0,2.0,2.0,0.28,0.2007
winter,2020-01-19,POOL_FLAT,1,52,0.13388,0.0,0.0,0.0,2.0,2.0,0.13388,0.2007
winter,2020-01-19,POOL_FLAT,1,53,0.18568,0.0,0.0,0.0,2.0,2.0,0.18568,0.2007
winter,2020-01-19,POOL_FLAT,1,54,0.23972,0.0,0.0,0.0,2.0,2.0,0.23972,0.2007
winter,2020-01-19,POOL_FLAT,1,55,0.45122,0.0095,0.0,0.0,2.0,2.0,0.44172,0.2007
winter,2020-01-19,POOL_FLAT,2,1,0.49073,0.0,0.0,0.0,2.0,2.0,0.49073,0.2007
winter,2020-01-19,POOL_FLAT,2,2,0.16926,0.000675,0.0,0.0,2.0,2.0,0.16858499999999998,0.2007
winter,2020-01-19,POOL_FLAT,2,3,0.280615,0.0001,0.0,0.0,2.0,2.0,0.280515,0.2007
winter,2020-01-19,POOL_FLAT,2,4,1.21503,0.0,0.0,0.0,2.0,2.0,1.21503,0.2007
winter,2020-01-19,POOL_FLAT,2,5,0.08989,0.00068,0.0,0.0,2.0,2.0,0.08921,0.2007
winter,2020-01-19,POOL_FLAT,2,6,0.22774,0.0,0.0,0.0,2.0,2.0,0.22774,0.2007
winter,2020-01-19,POOL_FLAT,2,7,3.23071,0.0,0.0,0.0,2.0,2.0,3.23071,0.2007
winter,2020-01-19,POOL_FLAT,2,8,3.2867800000000003,0.0,0.0,0.0,2.0,2.0,3.2867800000000003,0.2007
winter,2020-01-19,POOL_FLAT,2,9,0.212445,0.0,0.0,0.0,2.0,2.0,0.212445,0.2007
winter,2020-01-19,POOL_FLAT,2,10,2.87623,0.0,0.0,0.0,2.0,2.0,2.87623,0.2007
winter,2020-01-19,POOL_FLAT,2,11,0.22441,0.0,0.0,0.0,2.0,2.0,0.22441,0.2007
winter,2020-01-19,POOL_FLAT,2,12,0.10595,0.000675,0.0,0.0,2.0,2.0,0.10527500000000001,0.2007
winter,2020-01-19,POOL_FLAT,2,13,0.18572,0.0001,0.0,0.0,2.0,2.0,0.18562,0.2007
winter,2020-01-19,POOL_FLAT,2,14,0.2545,0.0,0.0,0.0,2.0,2.0,0.2545,0.2007
winter,2020-01-19,POOL_FLAT,2,15,0.17254,0.00068,0.0,0.0,2.0,2.0,0.17186,0.2007
winter,2020-01-19,POOL_FLAT,2,16,0.31737,0.0,0.0,0.0,2.0,2.0,0.31737,0.2007
winter,2020-01-19,POOL_FLAT,2,17,0.04118,0.0,0.0,0.0,2.0,2.0,0.04118,0.2007
winter,2020-01-19,POOL_FLAT,2,18,0.6720499999999999,0.0,0.0,0.0,2.0,2.0,0.6720499999999999,0.2007
winter,2020-01-19,POOL_FLAT,2,19,0.16955,0.0,0.0,0.0,2.0,2.0,0.16955,0.2007
winter,2020-01-19,POOL_FLAT,2,20,0.11077,0.0,0.0,0.0,2.0,2.0,0.11077,0.2007
winter,2020-01-19,POOL_FLAT,2,21,0.49073,0.0,0.0,0.0,2.0,2.0,0.49073,0.2007
winter,2020-01-19,POOL_FLAT,2,22,0.16926,0.000675,0.0,0.0,2.0,2.0,0.16858499999999998,0.2007
winter,2020-01-19,POOL_FLAT,2,23,0.280615,0.0001,0.0,0.0,2.0,2.0,0.280515,0.2007
winter,2020-01-19,POOL_FLAT,2,24,1.21503,0.0,0.0,0.0,2.0,2.0,1.21503,0.2007
winter,2020-01-19,POOL_FLAT,2,25,0.08989,0.00068,0.0,0.0,2.0,2.0,0.08921,0.2007
winter,2020-01-19,POOL_FLAT,2,26,0.22774,0.0,0.0,0.0,2.0,2.0,0.22774,0.2007
winter,2020-01-19,POOL_FLAT,2,27,3.23071,0.0,0.0,0.0,2.0,2.0,3.23071,0.2007
winter,2020-01-19,POOL_FLAT,2,28,3.2867800000000003,0.0,0.0,0.0,2.0,2.0,3.2867800000000003,0.2007
winter,2020-01-19,POOL_FLAT,2,29,0.212445,0.0,0.0,0.0,2.0,2.0,0.212445,0.2007
winter,2020-01-19,POOL_FLAT,2,30,2.87623,0.0,0.0,0.0,2.0,2.0,2.87623,0.2007
