Day,Score,QualityPassed,QualityStatus,QualityMessage,LoadEnergyKWh,PvEnergyKWh,LoadPeakKW,PvPeakKW,Selected
10-Jun-2020,0.227437099056766,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-10 fails exclude_flagged_pv: status_run_exceeds_2min:H19.",265.061413189573,38.18711,20.08076,8.90532,0
24-Aug-2020,0.242266698119992,1,passed,"",237.371525,39.003295,18.87078,7.16826,1
07-Apr-2020,0.242712092090716,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-04-07 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H6,H9,H12,H13,H18,H19.",243.56057,60.949145,20.01468,9.00362,0
09-Aug-2020,0.246942862463204,1,passed,"",281.36449,29.909995,21.81542,5.998,0
09-Oct-2020,0.247624332862696,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-10-09 fails exclude_flagged_pv: status_run_exceeds_2min:H17; status_fraction_exceeds_0.005:H17.",242.306645,31.793805,21.241255,5.5385,0
26-Jun-2020,0.248857072914354,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-26 fails exclude_flagged_pv: status_run_exceeds_2min:H5.",197.31821,46.537465,15.79108,6.7461,0
10-Jan-2020,0.249316902591204,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-01-10 fails exclude_flagged_pv: pv_window_exceeds_astronomical_day_length_plus_0.5h.",236.665505,44.640965,16.07852,9.18298,0
07-Jul-2020,0.253050205098804,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-07 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H12,H13,H15,H18.",231.603775,31.81161,17.82006,5.5743,0
16-Sep-2020,0.25658493277636,1,passed,"",250.765125,47.16814,19.59598,10.63216,0
15-Sep-2020,0.256610099244041,1,passed,"",276.248905,40.417295,20.08504,13.02878,0
22-Jun-2020,0.257091755443106,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-22 fails exclude_flagged_pv: status_run_exceeds_2min:H2,H3,H10,H11.",245.740045,39.55642,23.90698,6.98912,0
08-Apr-2020,0.260758778158606,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-04-08 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H2,H3,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H18,H19,H20; status_fraction_exceeds_0.005:H1,H2,H3,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H18,H19,H20.",214.342845,51.606525,14.77146,13.50176,0
29-Jul-2020,0.26140627244862,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-29 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H17,H20; status_fraction_exceeds_0.005:H1,H17,H18,H20.",251.07197,35.697145,17.51276,5.35572,0
16-Jun-2020,0.261919308182903,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-16 fails exclude_flagged_pv: status_run_exceeds_2min:H3.",241.09465,44.055045,19.95884,5.87454,0
30-Jun-2020,0.262141674176945,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-30 fails exclude_flagged_pv: status_run_exceeds_2min:H12.",222.22083,43.47856,17.3547,7.23174,0
29-Sep-2020,0.263342757836877,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-09-29 fails exclude_flagged_pv: status_run_exceeds_2min:H5,H7; status_fraction_exceeds_0.005:H5,H7.",253.40226,39.557345,20.78978,11.23064,0
20-Oct-2020,0.264972296839556,1,passed,"",265.107125,26.69437,21.6597,10.81908,0
22-Oct-2020,0.265993150024893,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-10-22 fails exclude_flagged_pv: status_fraction_exceeds_0.005:H2.",247.80417,44.836365,19.67643,11.50666,0
25-Aug-2020,0.26620683092309,1,passed,"",240.43752,44.66708,17.96778,7.4713,0
28-Jan-2020,0.266729116445929,1,passed,"",294.976355,33.19752,21.10842,7.56582,0
15-Jul-2020,0.267079430115156,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-15 fails exclude_flagged_pv: status_run_exceeds_2min:H16,H19; status_fraction_exceeds_0.005:H19.",237.941320844749,56.94596,16.74772,9.49474,0
23-Jun-2020,0.268162463951543,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-23 fails exclude_flagged_pv: status_run_exceeds_2min:H2,H3,H15,H16,H18; status_fraction_exceeds_0.005:H3.",238.29284,36.007595,23.3125,5.66516,0
17-Jul-2020,0.268175207168486,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-17 fails exclude_flagged_pv: status_run_exceeds_2min:H6; status_fraction_exceeds_0.005:H6.",231.813408333333,33.162195,20.75698,5.24822,0
29-Jun-2020,0.268424732227609,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-29 fails exclude_flagged_pv: status_run_exceeds_2min:H2,H3,H10,H15,H18.",220.016045,43.8094,18.06802,6.8524,0
31-Aug-2020,0.269981787780531,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-08-31 fails exclude_flagged_pv: status_run_exceeds_2min:H16.",259.010705,37.71567,20.84182,5.42238,0
06-Sep-2020,0.27010036626164,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-09-06 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H10,H18; pv_window_exceeds_astronomical_day_length_plus_0.5h.",226.655125,53.501805,21.56378,10.1998,0
13-Aug-2020,0.270780692841523,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-08-13 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H6; status_fraction_exceeds_0.005:H1,H3,H6,H7,H8,H9,H20.",260.58042,23.563445,18.77728,4.42432,0
02-Apr-2020,0.273052808375972,1,passed,"",254.463315,48.776905,19.25274,11.5231,0
06-Apr-2020,0.274276268770318,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-04-06 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H9,H12,H13,H20.",225.705505,34.7567,16.57784,5.02796,0
08-Oct-2020,0.276909198398732,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-10-08 fails exclude_flagged_pv: status_run_exceeds_2min:H3,H6,H12,H17,H18; status_fraction_exceeds_0.005:H3,H5,H6,H8,H11,H12,H13,H17,H18; pv_window_exceeds_astronomical_day_length_plus_0.5h.",263.315335,55.875095,18.01389,9.20862,0
23-Jul-2020,0.277500874279544,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-23 fails exclude_flagged_pv: status_run_exceeds_2min:H17.",241.635515,66.60906,21.08906,11.18016,0
21-Sep-2020,0.278905514635921,1,passed,"",244.786545,24.55873,20.45384,4.18626,0
06-Jun-2020,0.279486864655652,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-06 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H12,H15.",231.832305,49.17246,19.40612,7.39604,0
30-Sep-2020,0.279957627640599,1,passed,"",246.083385,41.68221,20.1546,12.8769,0
21-Oct-2020,0.282819926599502,1,passed,"",256.05006,26.968315,22.44463,6.71176,0
15-Aug-2020,0.282906397290722,1,passed,"",267.534295,44.20713,19.97334,7.48708,0
18-May-2020,0.283422706592942,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-05-18 fails exclude_flagged_pv: status_run_exceeds_2min:H5,H15,H18,H20.",246.06403,54.536495,18.2175,9.3782,0
17-Apr-2020,0.285358763514905,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-04-17 fails exclude_flagged_pv: status_run_exceeds_2min:H2,H9,H15.",252.043905,49.23345,22.05574,9.7208,0
10-May-2020,0.287053238693414,1,passed,"",269.238385,31.983985,21.8182,8.34484,0
02-May-2020,0.288164389951635,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-05-02 fails exclude_flagged_pv: status_run_exceeds_2min:H4.",249.5768,17.44405,19.93676,4.0416,0
07-Jan-2020,0.288276490176505,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-01-07 fails exclude_flagged_pv: status_run_exceeds_2min:H5,H12,H19; status_fraction_exceeds_0.005:H19; pv_window_exceeds_astronomical_day_length_plus_0.5h.",213.751315,57.877455,15.78264,10.27128,0
14-Aug-2020,0.289168808049258,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-08-14 fails exclude_flagged_pv: status_run_exceeds_2min:H9,H10,H11; status_fraction_exceeds_0.005:H9,H10.",242.62133,35.92288,16.1049,13.4281859459459,0
27-Sep-2020,0.289432669402386,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-09-27 fails exclude_flagged_pv: status_run_exceeds_2min:H6,H16; status_fraction_exceeds_0.005:H6,H8,H9,H11,H12,H20.",282.034405,33.25252,20.16328,6.73331,0
10-Dec-2020,0.291024420531085,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-12-10 fails exclude_flagged_pv: status_run_exceeds_2min:H6,H7,H8,H9,H11,H12,H18,H20; status_fraction_exceeds_0.005:H6,H7,H8,H9,H11,H12,H20; pv_window_exceeds_astronomical_day_length_plus_0.5h.",254.296089410132,58.800965,20.66814,13.13144,0
25-May-2020,0.291252412094767,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-05-25 fails exclude_flagged_pv: status_run_exceeds_2min:H14,H17,H18.",239.600305,63.08231,19.00988,6.99344,0
20-Jun-2020,0.291563182635625,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-20 fails exclude_flagged_pv: status_run_exceeds_2min:H10,H14,H17,H20.",259.0898,40.757005,22.48246,5.23026,0
26-Apr-2020,0.292335356769805,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-04-26 fails exclude_flagged_pv: status_run_exceeds_2min:H3,H6,H12,H18.",246.09837,16.699505,17.34716,3.10614,0
07-Aug-2020,0.293840069996565,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-08-07 fails exclude_flagged_pv: status_run_exceeds_2min:H6,H9,H10,H12,H13,H14,H15,H16,H17,H18; status_fraction_exceeds_0.005:H10,H14,H15,H17,H18.",241.25825,31.08467,18.58568,4.50288,0
12-Jan-2020,0.295328596814214,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-01-12 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H6,H7,H8,H9,H11,H12,H13,H16,H20; status_fraction_exceeds_0.005:H6,H7,H8,H9,H11,H12,H13,H16,H20.",295.77062,21.988065,23.80304,8.47412,0
15-Jan-2020,0.296124458371119,1,passed,"",316.764665,31.834,26.40408,10.86896,0
24-Sep-2020,0.296760905531788,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-09-24 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H2,H3,H4,H5,H6,H10,H13,H14,H15,H18; status_fraction_exceeds_0.005:H1,H2,H3,H4,H5,H6,H8,H9,H10,H11,H12,H14,H15,H17,H18,H19,H20.",254.42619,56.045305,17.12349,13.51782,0
08-May-2020,0.2970149429654,1,passed,"",244.91228,58.50355,22.82686,10.70964,0
14-Jun-2020,0.297039917871871,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-14 fails exclude_flagged_pv: status_run_exceeds_2min:H6,H15.",231.469765,50.002375,16.78212,10.97126,0
