TimeEnd,IntervalStart,ScenarioId,CohortId,PvBoundaryId,TransferLossFraction,Strategy,ProfileKind,LoadKW,PvKW,GridKW,BatteryKW,FeedInKW
24-Aug-2020 00:30:00,24-Aug-2020 00:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,6.75743,0.004807,6.752623,3.46944695195361e-16,NaN
24-Aug-2020 01:00:00,24-Aug-2020 00:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,6.37418,0.004427,6.369753,0,NaN
24-Aug-2020 01:30:00,24-Aug-2020 01:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,4.10152,0.003553,4.097967,0,NaN
24-Aug-2020 02:00:00,24-Aug-2020 01:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,4.11671,0.003135,4.113575,-1.89906570001672e-16,NaN
24-Aug-2020 02:30:00,24-Aug-2020 02:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,4.44797,0.004693,4.443277,0,NaN
24-Aug-2020 03:00:00,24-Aug-2020 02:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,4.4792,0.004351,4.475419,-0.00057,NaN
24-Aug-2020 03:30:00,24-Aug-2020 03:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,4.24431,0.003154,4.241156,-5.84327907697451e-17,NaN
24-Aug-2020 04:00:00,24-Aug-2020 03:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,3.74379,0.003192,3.740598,6.75629143275177e-17,NaN
24-Aug-2020 04:30:00,24-Aug-2020 04:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,4.02711,0.003629,4.023481,0,NaN
24-Aug-2020 05:00:00,24-Aug-2020 04:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,5.83211,0.006441,5.825669,0,NaN
24-Aug-2020 05:30:00,24-Aug-2020 05:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,7.76492,0.003591,7.761329,0,NaN
24-Aug-2020 06:00:00,24-Aug-2020 05:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,10.10506,0.001064,10.103996,7.30409884621813e-18,NaN
24-Aug-2020 06:30:00,24-Aug-2020 06:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,10.5033,0,10.5033,0,NaN
24-Aug-2020 07:00:00,24-Aug-2020 06:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,10.14938,0,10.14938,0,NaN
24-Aug-2020 07:30:00,24-Aug-2020 07:00:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,10.0849,0.07619,10.050757,-0.042047,NaN
24-Aug-2020 08:00:00,24-Aug-2020 07:30:00,DC_XI007_H20,H20_PV10,DC_SOURCE,0.07,SH_BM,STRUCTURAL_PROXY,10.6098,0.388588,30.7406178448754,-19.5052090526316,NaN
