Day,ExperimentId,ScenarioId,PairId,SensitivityRole,CohortId,HouseCount,PvHomeCount,H4MaskAffected,H4AlignmentCategory,PvBoundaryId,TransferLossFraction,QualityMode,Strategy,ResultKind,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,CapacityRatio,PowerRatio,BatteryCapacityKWhPerHome,BatteryPowerKWPerHome,PaperLoadOnlyBaselineBillEUR,PaperLoadOnlySavingsEUR,PaperLoadOnlySavingsPercent,PaperSavingsPercentDenominatorIsZero,OriginalLoadPeakKW,OriginalLoadDaytimePeakKW,PvSelfNoBatteryBaselineBillEUR,EngineeringSavingsEUR,EngineeringSavingsPercent,EngineeringSavingsPercentDenominatorIsZero,PvSelfNoBatteryPeakKW,OptimizedBillEUR,OptimizedPeakImportKW,OptimizedDaytimePeakImportKW,OptimizedImportSpreadKW,ObservedReleasePvSelfNoBatteryBaselineBillEUR,ObservedReleaseEngineeringSavingsEUR,ObservedReleaseEngineeringSavingsPercent,ObservedReleaseEngineeringSavingsPercentDenominatorIsZero,ObservedBillEUR,ObservedPeakImportKW,ObservedDaytimePeakImportKW,ObservedImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,TotalFeedInKWh,EnergyBalanceResidualKW,PvAllocationResidualKW,HomeBalanceResidualKW,BatteryDynamicsResidualKW,AggregateImportResidualKW,ChargeConversionResidualKW,DischargeConversionResidualKW,InitialSocErrorKWh,TerminalSocErrorKWh,SocBoundViolationKWh,ChargePowerViolationKW,DischargePowerViolationKW,AggregateImportNonnegativeViolationKW,SimultaneousChargeDischargeKW,SimultaneousChargeDischargeCount,MaximumLexicographicViolation,MinimumExitFlag,MaximumRelativeMipGap,StageCount,InputsPath,InputsSha256,SolutionPath,SolutionSha256,StagesPath,MetricsPath,MetricsSha256,ObservedProfilesPath,ObservedProfilesSha256
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,SH_BM,MODEL_STRUCTURAL_PROXY,ok,,,4.19615870833333,1,1,10,3.3,36.671172405,14.0818443467969,38.4003112615972,0,18.87078,18.87078,33.29714113,10.7078130717969,32.1583556678067,0,17.9361625,22.5893280582031,55.6817390581717,10.0112,55.6817390581717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,213.7315618841,211.456323213822,3.6126103860772,0,NaN,1.77635683940025e-15,1.11022302462516e-16,2.22044604925031e-16,1.77635683940025e-15,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,0,0,0,0,1,0,2,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,5.12101770833333,1,1,10,3.3,36.671172405,17.113127226368,46.6664306157681,0,18.87078,18.87078,33.29714113,13.739095951368,41.2620888313724,0,17.9361625,19.558045178632,75.5007842105263,6.7168492989822e-15,75.5007842105263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214.92357339156,244.671414653528,0,32.7784615091966,NaN,3.17523785042795e-14,3.17523785042795e-14,2.87131429743681e-14,3.06005221162309e-14,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,1.22124532708767e-15,0,0,7.105427357601e-15,1,0,2,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,PS,MODEL_STRUCTURAL_PROXY,ok,,,16.1989544583333,1,1,10,3.3,36.671172405,7.60718514484612,20.744319436618,0,18.87078,18.87078,33.29714113,4.23315386984612,12.7132652419584,0,17.9361625,29.0639872601539,8.49824226737144,8.49824226737144,1.33428496340571e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.95780774549,90.3350213394312,0,3.42364019466425,NaN,7.74491581978509e-13,2.85882428840978e-15,1.78884684842728e-13,7.74491581978509e-13,0,0,0,0,0,1.11022302462516e-15,0,4.44089209850063e-16,0,0,0,1.77635683940025e-15,1,0,3,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,PSDT,MODEL_STRUCTURAL_PROXY,ok,,,4.646025875,1,1,10,3.3,36.671172405,17.1131272263681,46.6664306157682,0,18.87078,18.87078,33.29714113,13.739095951368,41.2620888313724,0,17.9361625,19.558045178632,75.5007842105263,1.77635683940025e-15,75.5007842105263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214.92357339156,244.671414653531,0,32.7784615091947,NaN,8.54871728961371e-15,5.10702591327572e-15,8.88178419700125e-16,8.54871728961371e-15,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,7.54951656745106e-15,0,0,0,1,0,3,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,LL,MODEL_STRUCTURAL_PROXY,ok,,,32.0907524166667,1,1,10,3.3,36.671172405,7.60718390971262,20.744316068486,0,18.87078,18.87078,33.29714113,4.23315263471262,12.7132615325303,0,17.9361625,29.0639884952874,8.49824231815424,8.49824221815421,1.0000004024846e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.957814435701,90.3343423628653,0,3.42397327668001,NaN,1.65978342181461e-14,3.33066907387547e-16,2.22044604925031e-16,1.65978342181461e-14,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,0,0,0,4.02484602136387e-14,1,0,3,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H19,DC_XI007,H4_PAIR,H19_EXCL_H4_PV9,19,9,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,4.75291758333333,1,1,10,3.3,35.070142815,16.2769794003077,46.4126407644563,0,18.60514,18.60514,32.075441745,13.2822783303077,41.4094946404852,0,17.9361625,18.7931634146923,67.9928186703601,2.06057393370429e-13,67.9928186703601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,206.518279282333,236.97302470377,0,32.7784235803094,NaN,9.54791801177635e-15,1.11022302462516e-16,1.67921232474555e-15,9.54791801177635e-15,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,4.71844785465692e-15,0,0,1.06581410364015e-14,1,0,2,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,AC_XI007_H20,AC_XI007,PV_BOUNDARY,H20_PV10,20,10,1,same_date_plus60_core,AC_METER_RECONSTRUCTED_DC,0.07,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,4.404607625,1,1,10,3.3,36.671172405,17.3070522436483,47.1952520429605,0,18.87078,18.87078,33.226325705,13.8622055436483,41.7205491414367,0,17.90433,19.3641201613517,75.3894810526316,1.27953203588049e-14,75.3894810526316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.792529245623,241.839049689555,0,32.7277613014673,NaN,2.30926389122033e-14,9.38138455808257e-15,4.44089209850063e-16,2.30926389122033e-14,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,5.6621374255883e-15,0,0,1.77635683940025e-14,1,0,2,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI000_H20,DC_XI000,XI_ZERO,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,22.2282058333333,1,1,10,3.3,36.671172405,17.345523299571,47.300160213056,0,18.87078,18.87078,33.29714113,13.971492024571,41.9600348571156,0,17.9361625,19.325649105429,67.59804,4.14851566374885e-05,67.59804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.369746911467,239.405742120888,3.51316052272846e-17,138.223188757422,NaN,1.77635683940025e-14,1.11022302462516e-16,0,1.77635683940025e-14,0,0,0,0,0,0,0,8.88178419700125e-16,3.1641356201817e-15,0,0,4.2632564145606e-14,1,0,2,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,OBSERVED_RELEASE_H20_PV10,OBSERVED_RELEASE_PAIR,OBSERVED_PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,OBSERVED_RELEASE_FIELDS,NaN,release_literal,SB_SC,OBSERVED_RELEASE_PROXY,ok,,,0.0826410416666667,NaN,NaN,NaN,NaN,36.671172405,5.80189986,15.8214190588816,0,18.87078,18.87078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.226325705,2.35705316,7.09393262717973,0,30.869272545,33.71518,14.96142,31.64666,232.23118,153.0523,NaN,NaN,0.94446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,
24-Aug-2020,B2022_TYPICAL_V1,OBSERVED_RELEASE_H19_EXCL_H4_PV9,OBSERVED_RELEASE_PAIR,OBSERVED_H4_PAIR,H19_EXCL_H4_PV9,19,9,1,same_date_plus60_core,OBSERVED_RELEASE_FIELDS,NaN,release_literal,SB_SC,OBSERVED_RELEASE_PROXY,ok,,,0.0127041666666667,NaN,NaN,NaN,NaN,35.070142815,5.43809059,15.5063257617361,0,18.60514,18.60514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.013716755,2.38166453,7.43951271958457,0,29.632052225,33.5856,14.73278,31.85529,223.14287,150.59827,NaN,NaN,0.92742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,
